,Unnamed: 0,@type,name,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Jamón Ibérico de bellota,Para compartir,8.9,"""Mediterráneo""","""Calle Rodríguez Marín","""geo"":{""latitude"":40.453367,""longitude"":-3.6786116",Mayflower
1,1,MenuItem,Boquerones en vinagre,Para compartir,8.9,"""Mediterráneo""","""Calle Rodríguez Marín","""geo"":{""latitude"":40.453367,""longitude"":-3.6786116",Mayflower
2,2,MenuItem,Sardinas ahumadas con Guacamole,Para compartir,8.9,"""Mediterráneo""","""Calle Rodríguez Marín","""geo"":{""latitude"":40.453367,""longitude"":-3.6786116",Mayflower
3,3,MenuItem,Alitas de pollo muy fritas,Para compartir,8.9,"""Mediterráneo""","""Calle Rodríguez Marín","""geo"":{""latitude"":40.453367,""longitude"":-3.6786116",Mayflower
4,4,MenuItem,Buñuelos de brandada de Bacalao con mayonesa de ajo negro,Para compartir,8.9,"""Mediterráneo""","""Calle Rodríguez Marín","""geo"":{""latitude"":40.453367,""longitude"":-3.6786116",Mayflower
5,5,MenuItem,Croquetas de jamón ibérico con salsa de pimientos rojos asados y comino,Para compartir,8.9,"""Mediterráneo""","""Calle Rodríguez Marín","""geo"":{""latitude"":40.453367,""longitude"":-3.6786116",Mayflower
6,6,MenuItem,Huevos estrellados con patatas y jamón iberico,Para compartir,8.9,"""Mediterráneo""","""Calle Rodríguez Marín","""geo"":{""latitude"":40.453367,""longitude"":-3.6786116",Mayflower
7,7,MenuItem,Tortilla de patata muy jugosa,Para compartir,8.9,"""Mediterráneo""","""Calle Rodríguez Marín","""geo"":{""latitude"":40.453367,""longitude"":-3.6786116",Mayflower
8,8,MenuItem,Tortilla de patata trufada,Para compartir,8.9,"""Mediterráneo""","""Calle Rodríguez Marín","""geo"":{""latitude"":40.453367,""longitude"":-3.6786116",Mayflower
9,9,MenuItem,Ravioli de perdiz con salsa de boletus y trufa,Para compartir,8.9,"""Mediterráneo""","""Calle Rodríguez Marín","""geo"":{""latitude"":40.453367,""longitude"":-3.6786116",Mayflower
10,10,MenuItem,Risotto trufado con boletus,Para compartir,8.9,"""Mediterráneo""","""Calle Rodríguez Marín","""geo"":{""latitude"":40.453367,""longitude"":-3.6786116",Mayflower
11,11,MenuItem,Tacos mejicanos de tortilla de queso con lomo de buey,Para compartir,8.9,"""Mediterráneo""","""Calle Rodríguez Marín","""geo"":{""latitude"":40.453367,""longitude"":-3.6786116",Mayflower
12,12,MenuItem,* Reservas en terraza sujetas a disponibilidad en el momento,Para compartir,8.9,"""Mediterráneo""","""Calle Rodríguez Marín","""geo"":{""latitude"":40.453367,""longitude"":-3.6786116",Mayflower
