,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Cocido al estilo norte de china,Offer,7.95,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
1,1,MenuItem,Col con tofu y panata,Offer,6.95,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
2,2,MenuItem,Tofu de la casa,Offer,4.95,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
3,3,MenuItem,Tofu al wok,Offer,4.95,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
4,4,MenuItem,Tirillas de carne al estilo Yuxiang,Offer,6.95,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
5,5,MenuItem,Costilla estofado,Offer,7.95,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
6,6,MenuItem,Panceta salteada con verdura,Offer,7.95,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
7,7,MenuItem,Cerdo empanado agridulce,Offer,7.95,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
8,8,MenuItem,Arroz con carne de cerdo,Offer,6.8,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
9,9,MenuItem,Arroz con pollo al curry,Offer,6.8,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
10,10,MenuItem,Ramen frito de verduras,Offer,5.8,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
11,11,MenuItem,Ramen frito ternera/pollo/marisco,Offer,6.8,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
12,12,MenuItem,Arroz frito con ternera/pollo,Offer,5.5,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
13,13,MenuItem,Arroz tres delicias,Offer,3.5,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
14,14,MenuItem,Empanadillas plancha al estilo Beijing,Offer,5.5,EUR,Plato,8.2,"""Chino""","""Calle del Río","""geo"":{""latitude"":40.422582,""longitude"":-3.7112787",Mi arroz
