,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Tesoros del Mae Nam Khong (degustación de entrantes thailandeses),Offer,12.9,EUR,Entrante (no se sirve media raciones),9,"""Tailandés""","""c","""geo"":{""latitude"":40.49999,""longitude"":-3.67284",Oam Thong (Sanuk)
1,1,MenuItem,Langostinos crudos marinados,Offer,15.9,EUR,Entrante (no se sirve media raciones),9,"""Tailandés""","""c","""geo"":{""latitude"":40.49999,""longitude"":-3.67284",Oam Thong (Sanuk)
2,2,MenuItem,Sopa crema de Tom Yam,Offer,9.9,EUR,Entrante (no se sirve media raciones),9,"""Tailandés""","""c","""geo"":{""latitude"":40.49999,""longitude"":-3.67284",Oam Thong (Sanuk)
3,3,MenuItem,Bao Thai (2 piezas),Offer,9.9,EUR,Entrante (no se sirve media raciones),9,"""Tailandés""","""c","""geo"":{""latitude"":40.49999,""longitude"":-3.67284",Oam Thong (Sanuk)
4,4,MenuItem,Poke Thai de salmon o Atun,Offer,16.9,EUR,Entrante (no se sirve media raciones),9,"""Tailandés""","""c","""geo"":{""latitude"":40.49999,""longitude"":-3.67284",Oam Thong (Sanuk)
5,5,MenuItem,Satay Gai,Offer,7.9,EUR,Entrante (no se sirve media raciones),9,"""Tailandés""","""c","""geo"":{""latitude"":40.49999,""longitude"":-3.67284",Oam Thong (Sanuk)
6,6,MenuItem,Po Pia Sod (rollitos crudos y vegano),Offer,10.9,EUR,Entrante (no se sirve media raciones),9,"""Tailandés""","""c","""geo"":{""latitude"":40.49999,""longitude"":-3.67284",Oam Thong (Sanuk)
7,7,MenuItem,Mini rollitos con lechuga y menta,Offer,9.9,EUR,Entrante (no se sirve media raciones),9,"""Tailandés""","""c","""geo"":{""latitude"":40.49999,""longitude"":-3.67284",Oam Thong (Sanuk)
8,8,MenuItem,Vieiras marinadas,Offer,17.9,EUR,Entrante (no se sirve media raciones),9,"""Tailandés""","""c","""geo"":{""latitude"":40.49999,""longitude"":-3.67284",Oam Thong (Sanuk)
9,9,MenuItem,BAO NEGRO CON CARNE MARINADO,Offer,14.9,EUR,Entrante (no se sirve media raciones),9,"""Tailandés""","""c","""geo"":{""latitude"":40.49999,""longitude"":-3.67284",Oam Thong (Sanuk)
10,10,MenuItem,ENSALADA DE HUEVO DE PATO CENTENARIO,Offer,14.9,EUR,Entrante (no se sirve media raciones),9,"""Tailandés""","""c","""geo"":{""latitude"":40.49999,""longitude"":-3.67284",Oam Thong (Sanuk)
11,11,MenuItem,ENSALADA DE MANGO VERDE (VEGETARIANO),Offer,13.9,EUR,Entrante (no se sirve media raciones),9,"""Tailandés""","""c","""geo"":{""latitude"":40.49999,""longitude"":-3.67284",Oam Thong (Sanuk)
12,12,MenuItem,Cassava crackers (descuento no aplicable),Offer,3.0,EUR,Entrante (no se sirve media raciones),9,"""Tailandés""","""c","""geo"":{""latitude"":40.49999,""longitude"":-3.67284",Oam Thong (Sanuk)
