,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Ceviche Caribeño,Offer,13.9,EUR,Pica Pica,9.4,None,"""Paseo de San Francisco de Sales 23","""geo"":{""latitude"":40.4415083,""longitude"":-3.7146172",Pura Vida Green Bar & Market
1,1,MenuItem,Burrata Fresca,Offer,13.5,EUR,Pica Pica,9.4,None,"""Paseo de San Francisco de Sales 23","""geo"":{""latitude"":40.4415083,""longitude"":-3.7146172",Pura Vida Green Bar & Market
2,2,MenuItem,Super Nachacones,Offer,13.5,EUR,Pica Pica,9.4,None,"""Paseo de San Francisco de Sales 23","""geo"":{""latitude"":40.4415083,""longitude"":-3.7146172",Pura Vida Green Bar & Market
3,3,MenuItem,Hummus del día,Offer,7.0,EUR,Pica Pica,9.4,None,"""Paseo de San Francisco de Sales 23","""geo"":{""latitude"":40.4415083,""longitude"":-3.7146172",Pura Vida Green Bar & Market
4,4,MenuItem,Tempura de vegetales,Offer,9.0,EUR,Pica Pica,9.4,None,"""Paseo de San Francisco de Sales 23","""geo"":{""latitude"":40.4415083,""longitude"":-3.7146172",Pura Vida Green Bar & Market
5,5,MenuItem,Vuelve a la vida,Offer,16.5,EUR,Pica Pica,9.4,None,"""Paseo de San Francisco de Sales 23","""geo"":{""latitude"":40.4415083,""longitude"":-3.7146172",Pura Vida Green Bar & Market
6,6,MenuItem,Tequeños (6 uds),Offer,7.5,EUR,Pica Pica,9.4,None,"""Paseo de San Francisco de Sales 23","""geo"":{""latitude"":40.4415083,""longitude"":-3.7146172",Pura Vida Green Bar & Market
7,7,MenuItem,Trío de tacos,Offer,11.9,EUR,Pica Pica,9.4,None,"""Paseo de San Francisco de Sales 23","""geo"":{""latitude"":40.4415083,""longitude"":-3.7146172",Pura Vida Green Bar & Market
8,8,MenuItem,Extras:,Offer,2.0,EUR,Pica Pica,9.4,None,"""Paseo de San Francisco de Sales 23","""geo"":{""latitude"":40.4415083,""longitude"":-3.7146172",Pura Vida Green Bar & Market
9,9,MenuItem,Extras:,Offer,2.0,EUR,Pica Pica,9.4,None,"""Paseo de San Francisco de Sales 23","""geo"":{""latitude"":40.4415083,""longitude"":-3.7146172",Pura Vida Green Bar & Market
10,10,MenuItem,Extras:,Offer,1.5,EUR,Pica Pica,9.4,None,"""Paseo de San Francisco de Sales 23","""geo"":{""latitude"":40.4415083,""longitude"":-3.7146172",Pura Vida Green Bar & Market
