,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,"Falafel, 4 unidades",Offer,7,EUR,Entrante,8.6,"""Libanés""","""Calle Ulpiana Benito","""geo"":{""latitude"":40.4646811,""longitude"":-3.6929708",Safir
1,1,MenuItem,Batata Harra,Offer,9,EUR,Entrante,8.6,"""Libanés""","""Calle Ulpiana Benito","""geo"":{""latitude"":40.4646811,""longitude"":-3.6929708",Safir
2,2,MenuItem,"Fatayer de Queso, Espanacas , Carne 4 unidades",Offer,8,EUR,Entrante,8.6,"""Libanés""","""Calle Ulpiana Benito","""geo"":{""latitude"":40.4646811,""longitude"":-3.6929708",Safir
3,3,MenuItem,HOMMOUS,Offer,8,EUR,Entrante,8.6,"""Libanés""","""Calle Ulpiana Benito","""geo"":{""latitude"":40.4646811,""longitude"":-3.6929708",Safir
4,4,MenuItem,Mohammara,Offer,9,EUR,Entrante,8.6,"""Libanés""","""Calle Ulpiana Benito","""geo"":{""latitude"":40.4646811,""longitude"":-3.6929708",Safir
5,5,MenuItem,Baba Ghanush,Offer,8,EUR,Entrante,8.6,"""Libanés""","""Calle Ulpiana Benito","""geo"":{""latitude"":40.4646811,""longitude"":-3.6929708",Safir
6,6,MenuItem,Labana,Offer,8,EUR,Entrante,8.6,"""Libanés""","""Calle Ulpiana Benito","""geo"":{""latitude"":40.4646811,""longitude"":-3.6929708",Safir
7,7,MenuItem,Kebba,Offer,9,EUR,Entrante,8.6,"""Libanés""","""Calle Ulpiana Benito","""geo"":{""latitude"":40.4646811,""longitude"":-3.6929708",Safir
8,8,MenuItem,Arayes,Offer,8,EUR,Entrante,8.6,"""Libanés""","""Calle Ulpiana Benito","""geo"":{""latitude"":40.4646811,""longitude"":-3.6929708",Safir
9,9,MenuItem,Safiha,Offer,8,EUR,Entrante,8.6,"""Libanés""","""Calle Ulpiana Benito","""geo"":{""latitude"":40.4646811,""longitude"":-3.6929708",Safir
10,10,MenuItem,Sambousek,Offer,9,EUR,Entrante,8.6,"""Libanés""","""Calle Ulpiana Benito","""geo"":{""latitude"":40.4646811,""longitude"":-3.6929708",Safir
11,11,MenuItem,Bolas de Queso labana,Offer,7,EUR,Entrante,8.6,"""Libanés""","""Calle Ulpiana Benito","""geo"":{""latitude"":40.4646811,""longitude"":-3.6929708",Safir
12,12,MenuItem,Chorizo arabe,Offer,7,EUR,Entrante,8.6,"""Libanés""","""Calle Ulpiana Benito","""geo"":{""latitude"":40.4646811,""longitude"":-3.6929708",Safir
