,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Verduras a la brasa con huevo poché y albahaca fresca,Offer,9.0,EUR,Si no compartes... Esta es tu parte,8.7,None,"""Calle del Barquillo","""geo"":{""latitude"":40.4202225,""longitude"":-3.6954273",Skull St. Food
1,1,MenuItem,Alcachofas a la brasa con velo ibérico y sal negra de Hawaii,Offer,10.0,EUR,Si no compartes... Esta es tu parte,8.7,None,"""Calle del Barquillo","""geo"":{""latitude"":40.4202225,""longitude"":-3.6954273",Skull St. Food
2,2,MenuItem,Alitas de pollo deshuesadas glaseadas con BBQ de chipotle,Offer,9.45,EUR,Si no compartes... Esta es tu parte,8.7,None,"""Calle del Barquillo","""geo"":{""latitude"":40.4202225,""longitude"":-3.6954273",Skull St. Food
3,3,MenuItem,Pollo macerado al carbón con romesco y cebolletas asadas,Offer,12.45,EUR,Si no compartes... Esta es tu parte,8.7,None,"""Calle del Barquillo","""geo"":{""latitude"":40.4202225,""longitude"":-3.6954273",Skull St. Food
4,4,MenuItem,Tartar de salmón y langostinos sobre guacamole casero,Offer,11.45,EUR,Si no compartes... Esta es tu parte,8.7,None,"""Calle del Barquillo","""geo"":{""latitude"":40.4202225,""longitude"":-3.6954273",Skull St. Food
5,5,MenuItem,"Poke bowl de atún, cola de langostino, aguacate y huevo poché",Offer,13.45,EUR,Si no compartes... Esta es tu parte,8.7,None,"""Calle del Barquillo","""geo"":{""latitude"":40.4202225,""longitude"":-3.6954273",Skull St. Food
6,6,MenuItem,Chipirones con chutney de tomate y pimientos de padrón,Offer,14.45,EUR,Si no compartes... Esta es tu parte,8.7,None,"""Calle del Barquillo","""geo"":{""latitude"":40.4202225,""longitude"":-3.6954273",Skull St. Food
7,7,MenuItem,"Lasaña de zamburiñas, sepia, langostino y bechamel de su coral",Offer,15.0,EUR,Si no compartes... Esta es tu parte,8.7,None,"""Calle del Barquillo","""geo"":{""latitude"":40.4202225,""longitude"":-3.6954273",Skull St. Food
8,8,MenuItem,"Hamburguesa de ternera, queso añejo, bacon ibérico y mayonesa de mojo",Offer,12.0,EUR,Si no compartes... Esta es tu parte,8.7,None,"""Calle del Barquillo","""geo"":{""latitude"":40.4202225,""longitude"":-3.6954273",Skull St. Food
9,9,MenuItem,Presa marinada en soja cítrica a la brasa y calabaza,Offer,14.0,EUR,Si no compartes... Esta es tu parte,8.7,None,"""Calle del Barquillo","""geo"":{""latitude"":40.4202225,""longitude"":-3.6954273",Skull St. Food
10,10,MenuItem,Baby ribs con salsa de pimienta negra y miel,Offer,14.0,EUR,Si no compartes... Esta es tu parte,8.7,None,"""Calle del Barquillo","""geo"":{""latitude"":40.4202225,""longitude"":-3.6954273",Skull St. Food
11,11,MenuItem,Steak tartar con encurtidos sobre coca crujiente,Offer,16.45,EUR,Si no compartes... Esta es tu parte,8.7,None,"""Calle del Barquillo","""geo"":{""latitude"":40.4202225,""longitude"":-3.6954273",Skull St. Food
12,12,MenuItem,Costilla de ternera glaseada con salsa yakiniku,Offer,19.0,EUR,Si no compartes... Esta es tu parte,8.7,None,"""Calle del Barquillo","""geo"":{""latitude"":40.4202225,""longitude"":-3.6954273",Skull St. Food
