,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Tosta Artezanal,Offer,3.5,EUR,Tostas,8.4,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341012,""longitude"":-3.7082834",Spanglish Bistro - Mercad...
1,1,MenuItem,Tosta del Norte,Offer,3.5,EUR,Tostas,8.4,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341012,""longitude"":-3.7082834",Spanglish Bistro - Mercad...
2,2,MenuItem,Tosta Caprese,Offer,3.0,EUR,Tostas,8.4,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341012,""longitude"":-3.7082834",Spanglish Bistro - Mercad...
3,3,MenuItem,Tosta toque Dulce,Offer,3.0,EUR,Tostas,8.4,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341012,""longitude"":-3.7082834",Spanglish Bistro - Mercad...
4,4,MenuItem,Tosta del Mar,Offer,3.0,EUR,Tostas,8.4,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341012,""longitude"":-3.7082834",Spanglish Bistro - Mercad...
5,5,MenuItem,Tosta Clasica,Offer,3.0,EUR,Tostas,8.4,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341012,""longitude"":-3.7082834",Spanglish Bistro - Mercad...
6,6,MenuItem,Tosta Caracol,Offer,3.0,EUR,Tostas,8.4,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341012,""longitude"":-3.7082834",Spanglish Bistro - Mercad...
7,7,MenuItem,Tosta Mexicana,Offer,3.0,EUR,Tostas,8.4,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341012,""longitude"":-3.7082834",Spanglish Bistro - Mercad...
8,8,MenuItem,Tosta del Capo,Offer,3.0,EUR,Tostas,8.4,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341012,""longitude"":-3.7082834",Spanglish Bistro - Mercad...
9,9,MenuItem,Tosta Española,Offer,3.5,EUR,Tostas,8.4,"""Internacional""","""Calle de Vallehermoso","""geo"":{""latitude"":40.4341012,""longitude"":-3.7082834",Spanglish Bistro - Mercad...
