,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Ohitashi,Offer,9.0,EUR,Entrantes frios,9.2,"""Japonés""","""Calle Marqués de Villamagna","""geo"":{""latitude"":40.4298681,""longitude"":-3.6879861",Sushi Bar Hannah
1,1,MenuItem,Tofu Hiyayakko,Offer,9.0,EUR,Entrantes frios,9.2,"""Japonés""","""Calle Marqués de Villamagna","""geo"":{""latitude"":40.4298681,""longitude"":-3.6879861",Sushi Bar Hannah
2,2,MenuItem,Tataki Ventresca Hamachi,Offer,11.5,EUR,Entrantes frios,9.2,"""Japonés""","""Calle Marqués de Villamagna","""geo"":{""latitude"":40.4298681,""longitude"":-3.6879861",Sushi Bar Hannah
3,3,MenuItem,Chawan Mushi,Offer,11.5,EUR,Entrantes frios,9.2,"""Japonés""","""Calle Marqués de Villamagna","""geo"":{""latitude"":40.4298681,""longitude"":-3.6879861",Sushi Bar Hannah
4,4,MenuItem,Pollo Karage,Offer,13.0,EUR,Entrantes frios,9.2,"""Japonés""","""Calle Marqués de Villamagna","""geo"":{""latitude"":40.4298681,""longitude"":-3.6879861",Sushi Bar Hannah
5,5,MenuItem,Berenjena Denkaku Miso,Offer,13.0,EUR,Entrantes frios,9.2,"""Japonés""","""Calle Marqués de Villamagna","""geo"":{""latitude"":40.4298681,""longitude"":-3.6879861",Sushi Bar Hannah
6,6,MenuItem,Kabura Mushi,Offer,13.0,EUR,Entrantes frios,9.2,"""Japonés""","""Calle Marqués de Villamagna","""geo"":{""latitude"":40.4298681,""longitude"":-3.6879861",Sushi Bar Hannah
7,7,MenuItem,Ensalada de Temporada,Offer,14.0,EUR,Entrantes frios,9.2,"""Japonés""","""Calle Marqués de Villamagna","""geo"":{""latitude"":40.4298681,""longitude"":-3.6879861",Sushi Bar Hannah
8,8,MenuItem,Ebi Carabineros Tartar,Offer,16.5,EUR,Entrantes frios,9.2,"""Japonés""","""Calle Marqués de Villamagna","""geo"":{""latitude"":40.4298681,""longitude"":-3.6879861",Sushi Bar Hannah
9,9,MenuItem,Cangrejo Real con Tosazu,Offer,17.5,EUR,Entrantes frios,9.2,"""Japonés""","""Calle Marqués de Villamagna","""geo"":{""latitude"":40.4298681,""longitude"":-3.6879861",Sushi Bar Hannah
10,10,MenuItem,Ika Botalga Caviar,Offer,18.5,EUR,Entrantes frios,9.2,"""Japonés""","""Calle Marqués de Villamagna","""geo"":{""latitude"":40.4298681,""longitude"":-3.6879861",Sushi Bar Hannah
11,11,MenuItem,A5 Hieda Prefecture Wagyu Tartar,Offer,42.5,EUR,Entrantes frios,9.2,"""Japonés""","""Calle Marqués de Villamagna","""geo"":{""latitude"":40.4298681,""longitude"":-3.6879861",Sushi Bar Hannah
