,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Baby Back ¡+60 premios internacionales!,Offer,16.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
1,1,MenuItem,Costillas ST. Louis Carolina,Offer,18.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
2,2,MenuItem,Costillas de Ternera (2uds),Offer,16.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
3,3,MenuItem,Chuletón 900 gr. (para 2 personas),Offer,35.9,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
4,4,MenuItem,Entrecotte,Offer,18.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
5,5,MenuItem,Medallón Solomillo 210 gr.,Offer,19.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
6,6,MenuItem,Barbecued Chicken,Offer,8.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
7,7,MenuItem,Pechugas Asadas,Offer,9.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
8,8,MenuItem,Pollo Frito,Offer,9.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
9,9,MenuItem,Burger Miami,Offer,10.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
10,10,MenuItem,Roma Burger desde 1994,Offer,10.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
11,11,MenuItem,Guacamole Burguer,Offer,9.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
12,12,MenuItem,Burger Ribs Empire,Offer,10.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
13,13,MenuItem,Burger Burger,Offer,11.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
14,14,MenuItem,Crispy Chicken,Offer,9.95,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
15,15,MenuItem,Goat Cheese Burguer,Offer,10.45,EUR,Plato,8.5,"""Americano""","""Av del Doctor Federico Rubio y Galí","""geo"":{""latitude"":40.4530075,""longitude"":-3.7128743",Tony Roma´s - Federico Rubio
