,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Burger Miami,Offer,10.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
1,1,MenuItem,Roma Burger desde 1994,Offer,10.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
2,2,MenuItem,Guacamole Burguer,Offer,9.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
3,3,MenuItem,Burger Ribs,Offer,10.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
4,4,MenuItem,Empire Burger,Offer,11.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
5,5,MenuItem,Burger Crispy,Offer,9.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
6,6,MenuItem,Chicken Goat Cheese Burguer,Offer,10.45,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
7,7,MenuItem,Chuletón 900 gr. (para 2 personas),Offer,35.9,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
8,8,MenuItem,Entrecotte Medallón,Offer,18.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
9,9,MenuItem,Solomillo 210 gr.,Offer,19.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
10,10,MenuItem,Barbecued Chicken,Offer,8.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
11,11,MenuItem,Pechugas Asadas,Offer,9.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
12,12,MenuItem,Pollo Frito,Offer,9.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
13,13,MenuItem,Baby Back ¡+60 premios internacionales!,Offer,16.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
14,14,MenuItem,Costillas ST. Louis Carolina,Offer,18.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
15,15,MenuItem,Costillas de Ternera (2uds),Offer,16.95,EUR,Plato,8.2,"""Americano""","""Gran Vía","""geo"":{""latitude"":40.4226391,""longitude"":-3.7092923",Tony Roma´s - Gran via
