,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Baby Back ¡+60 premios internacionales!,Offer,16.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
1,1,MenuItem,Costillas ST. Louis Carolina,Offer,18.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
2,2,MenuItem,Costillas de Ternera (2uds),Offer,16.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
3,3,MenuItem,Chuletón 900 gr. (para 2 personas),Offer,35.9,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
4,4,MenuItem,Entrecotte,Offer,18.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
5,5,MenuItem,Medallón Solomillo 210 gr.,Offer,19.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
6,6,MenuItem,Barbecued Chicken,Offer,8.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
7,7,MenuItem,Pechugas Asadas,Offer,9.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
8,8,MenuItem,Pollo Frito,Offer,9.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
9,9,MenuItem,Burger Miami,Offer,10.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
10,10,MenuItem,Roma Burger desde 1994,Offer,10.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
11,11,MenuItem,Guacamole Burguer,Offer,9.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
12,12,MenuItem,Burger Ribs,Offer,10.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
13,13,MenuItem,Empire Burger,Offer,11.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
14,14,MenuItem,Burger Crispy Chicken,Offer,9.95,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
15,15,MenuItem,Goat Cheese Burguer,Offer,10.45,EUR,Plato,8.5,"""Americano""","""Calle de Hortaleza","""geo"":{""latitude"":40.4217832,""longitude"":-3.699932",Tony Roma´s - Hortaleza
