,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,"Bacalao con salsa de almendras, chirivia asada y espárragos verdes",Offer,13.5,EUR,Principales,8.8,"""Español""","""Calle de Núñez de Arce","""geo"":{""latitude"":40.4156373,""longitude"":-3.7013458",Tres Bocas - Santa Ana
1,1,MenuItem,Entraña asada con patatas rústicas y salsa chimichurri,Offer,14.8,EUR,Principales,8.8,"""Español""","""Calle de Núñez de Arce","""geo"":{""latitude"":40.4156373,""longitude"":-3.7013458",Tres Bocas - Santa Ana
2,2,MenuItem,Ojo de bife (corte argentino),Offer,21.0,EUR,Principales,8.8,"""Español""","""Calle de Núñez de Arce","""geo"":{""latitude"":40.4156373,""longitude"":-3.7013458",Tres Bocas - Santa Ana
3,3,MenuItem,Entrecot asado con patatas rústicas,Offer,16.8,EUR,Principales,8.8,"""Español""","""Calle de Núñez de Arce","""geo"":{""latitude"":40.4156373,""longitude"":-3.7013458",Tres Bocas - Santa Ana
4,4,MenuItem,"Hamburguesa de buey con queso brie, cebolla dulce y tomates secos en pan brioche",Offer,13.0,EUR,Principales,8.8,"""Español""","""Calle de Núñez de Arce","""geo"":{""latitude"":40.4156373,""longitude"":-3.7013458",Tres Bocas - Santa Ana
5,5,MenuItem,"Mollejas asadas de ternera con pico de gallo, lima y mojo de miso y pimentón",Offer,14.5,EUR,Principales,8.8,"""Español""","""Calle de Núñez de Arce","""geo"":{""latitude"":40.4156373,""longitude"":-3.7013458",Tres Bocas - Santa Ana
6,6,MenuItem,Clásico Steak-tartar de solomillo de tres Bocas,Offer,18.9,EUR,Principales,8.8,"""Español""","""Calle de Núñez de Arce","""geo"":{""latitude"":40.4156373,""longitude"":-3.7013458",Tres Bocas - Santa Ana
7,7,MenuItem,Ñoquis de patata y albahaca con portobellos y escamas de parmesano,Offer,12.5,EUR,Principales,8.8,"""Español""","""Calle de Núñez de Arce","""geo"":{""latitude"":40.4156373,""longitude"":-3.7013458",Tres Bocas - Santa Ana
8,8,MenuItem,"Pintada asada con arroz al wok, salsa de especias y shitakes",Offer,15.5,EUR,Principales,8.8,"""Español""","""Calle de Núñez de Arce","""geo"":{""latitude"":40.4156373,""longitude"":-3.7013458",Tres Bocas - Santa Ana
9,9,MenuItem,"Curry de albóndigas de cerdo, cilantro y brocheta de piña",Offer,16.0,EUR,Principales,8.8,"""Español""","""Calle de Núñez de Arce","""geo"":{""latitude"":40.4156373,""longitude"":-3.7013458",Tres Bocas - Santa Ana
