,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,"Ceviche de vieira, con corvina, gambas y chips de plátano",Offer,17.8,EUR,Platos,8.6,"""Internacional""","""Calle de María de Molina","""geo"":{""latitude"":40.438128,""longitude"":-3.689649",Wanda Café Optimista
1,1,MenuItem,"Salmón al horno, con verduritas al vapor y salsa tartara",Offer,16.9,EUR,Platos,8.6,"""Internacional""","""Calle de María de Molina","""geo"":{""latitude"":40.438128,""longitude"":-3.689649",Wanda Café Optimista
2,2,MenuItem,"Pulpo al olivo, con patata revolcona crujiente y mahones de kalamata",Offer,18.4,EUR,Platos,8.6,"""Internacional""","""Calle de María de Molina","""geo"":{""latitude"":40.438128,""longitude"":-3.689649",Wanda Café Optimista
3,3,MenuItem,"Tartar de atún, preparado con nuestra receta",Offer,17.8,EUR,Platos,8.6,"""Internacional""","""Calle de María de Molina","""geo"":{""latitude"":40.438128,""longitude"":-3.689649",Wanda Café Optimista
4,4,MenuItem,"Tartar de salmón, con aguacate, sésamo negro, cebollino y huevas",Offer,16.5,EUR,Platos,8.6,"""Internacional""","""Calle de María de Molina","""geo"":{""latitude"":40.438128,""longitude"":-3.689649",Wanda Café Optimista
5,5,MenuItem,"Steak tartar, preparado con carne de La Finca",Offer,17.8,EUR,Platos,8.6,"""Internacional""","""Calle de María de Molina","""geo"":{""latitude"":40.438128,""longitude"":-3.689649",Wanda Café Optimista
6,6,MenuItem,"Magret de pato, con soufflé de patata y mermelada de tomate con naranja",Offer,19.5,EUR,Platos,8.6,"""Internacional""","""Calle de María de Molina","""geo"":{""latitude"":40.438128,""longitude"":-3.689649",Wanda Café Optimista
7,7,MenuItem,"Parrillada mixta, con entraña y chorizo criollo (de La Finca), pollo tandoori, chimichurri y patatas fritas (1p)",Offer,16.5,EUR,Platos,8.6,"""Internacional""","""Calle de María de Molina","""geo"":{""latitude"":40.438128,""longitude"":-3.689649",Wanda Café Optimista
8,8,MenuItem,"Roast beef de lomo de ternera asado en su jugo, con salsa al Oporto o mostaza de Dijón",Offer,15.8,EUR,Platos,8.6,"""Internacional""","""Calle de María de Molina","""geo"":{""latitude"":40.438128,""longitude"":-3.689649",Wanda Café Optimista
9,9,MenuItem,"Pollo Tikka-Masala servido en cazuela, con salsa curry y arroz basmati",Offer,14.2,EUR,Platos,8.6,"""Internacional""","""Calle de María de Molina","""geo"":{""latitude"":40.438128,""longitude"":-3.689649",Wanda Café Optimista
