,Unnamed: 0,@type,name,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Tagliatelle al ragú blanco tradicional romagnolo,La Pasta,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
1,1,MenuItem,Tagliatelle a la bolognese,La Pasta,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
2,2,MenuItem,Tagliatelle pasticciate con piselli,La Pasta,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
3,3,MenuItem,Ravioli burro e salvia,La Pasta,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
4,4,MenuItem,Ravioli de calabaza,La Pasta,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
5,5,MenuItem,Strozzapreti,La Pasta,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
6,6,MenuItem,Tagliolini a la trufa,La Pasta,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
7,7,MenuItem,Spaghetti a la carbonara,La Pasta,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
8,8,MenuItem,"Spaghetti aglio, olio e peperoncino",La Pasta,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
9,9,MenuItem,Spaghetti al pesto,La Pasta,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
10,10,MenuItem,Garganelli a la amtriciana,La Pasta,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
11,11,MenuItem,Garganelli salmón y espárragos trigueros,La Pasta,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
