,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,"Deliciosa (pepperoni, aceitunas negras, pimiento verde y cebolla)",Offer,10.0,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
1,1,MenuItem,"Tropical (jamón, maíz y piña)",Offer,9.5,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
2,2,MenuItem,"Caprese(mozzarella fresca, tomate cherry y salsa de pesto)",Offer,9.5,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
3,3,MenuItem,"Vegetariana (calabacin, berenjenas, champiñones y cebolla)",Offer,10.0,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
4,4,MenuItem,"Cremosa (base de crema, queso mozarrella, bacon o pollo, champiñones y cebolla)",Offer,9.5,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
5,5,MenuItem,"Americana (base de salsa barbacoa, pollo o ternera, champiñones y cebolla)",Offer,9.5,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
6,6,MenuItem,"4 Quesos (mozzarella, emmental, cabra y azul)",Offer,9.5,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
7,7,MenuItem,"Picantona (queso de cabra, pepperoni, aceituna negra y guindilla)",Offer,10.0,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
8,8,MenuItem,"Marinera (atún, champiñones, aceituna negra y cebolla)",Offer,10.0,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
9,9,MenuItem,"Olé Olé (jamón serrano, escamas de queso parmesano y rúcula)",Offer,10.0,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
10,10,MenuItem,A Tu Manera (3 ingredientes a elegir),Offer,9.5,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
11,11,MenuItem,Margarita,Offer,8.0,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
12,12,MenuItem,Napolitana (Anchoas y alcaparras. SIN Queso),Offer,8.5,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
13,13,MenuItem,Tricolor (tomate secos y salsa pesto),Offer,9.5,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
14,14,MenuItem,"3 Cerditos (Salchicha frankfurt, Jamón york y bacon)",Offer,9.5,EUR,Pizzas Artesanas,9.3,"""Internacional""","""Calle de Tampico","""geo"":{""latitude"":40.443713,""longitude"":-3.6345066",Aboca Restobar
