,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,"Arroz ciego (Gambas peladas, mejillones y Pollo) min. 2px",Offer,18,EUR,ARROCES Y PESCADOS,8.9,"""Mediterráneo""","""Avenida Machupichu","""geo"":{""latitude"":40.461118066486,""longitude"":-3.6345798969269",Al Punto
1,1,MenuItem,Arroz Caldoso con Carabineros y Almejas (min. 2 px),Offer,23,EUR,ARROCES Y PESCADOS,8.9,"""Mediterráneo""","""Avenida Machupichu","""geo"":{""latitude"":40.461118066486,""longitude"":-3.6345798969269",Al Punto
2,2,MenuItem,Arroz meloso con verduritas naturales (min. 2 px),Offer,16,EUR,ARROCES Y PESCADOS,8.9,"""Mediterráneo""","""Avenida Machupichu","""geo"":{""latitude"":40.461118066486,""longitude"":-3.6345798969269",Al Punto
3,3,MenuItem,Fideos Negros Cremosos con Langostinos y Chipirones,Offer,18,EUR,ARROCES Y PESCADOS,8.9,"""Mediterráneo""","""Avenida Machupichu","""geo"":{""latitude"":40.461118066486,""longitude"":-3.6345798969269",Al Punto
4,4,MenuItem,Fabes Seda con Carabineros y Almejas,Offer,22,EUR,ARROCES Y PESCADOS,8.9,"""Mediterráneo""","""Avenida Machupichu","""geo"":{""latitude"":40.461118066486,""longitude"":-3.6345798969269",Al Punto
5,5,MenuItem,Cocochas de Merluza con almejas en salsa verde,Offer,32,EUR,ARROCES Y PESCADOS,8.9,"""Mediterráneo""","""Avenida Machupichu","""geo"":{""latitude"":40.461118066486,""longitude"":-3.6345798969269",Al Punto
6,6,MenuItem,Tartar de Atún Con Sal de Ajo y Hierbas de Provenza,Offer,23,EUR,ARROCES Y PESCADOS,8.9,"""Mediterráneo""","""Avenida Machupichu","""geo"":{""latitude"":40.461118066486,""longitude"":-3.6345798969269",Al Punto
7,7,MenuItem,Lomos de Atún Rojo a la Plancha y Cebolla caramelizada,Offer,23,EUR,ARROCES Y PESCADOS,8.9,"""Mediterráneo""","""Avenida Machupichu","""geo"":{""latitude"":40.461118066486,""longitude"":-3.6345798969269",Al Punto
8,8,MenuItem,"Lomos de Merluza a la Plancha, Donostiarra o Marinera",Offer,22,EUR,ARROCES Y PESCADOS,8.9,"""Mediterráneo""","""Avenida Machupichu","""geo"":{""latitude"":40.461118066486,""longitude"":-3.6345798969269",Al Punto
9,9,MenuItem,Bocaditos de Merluza a la romana con guarnición,Offer,22,EUR,ARROCES Y PESCADOS,8.9,"""Mediterráneo""","""Avenida Machupichu","""geo"":{""latitude"":40.461118066486,""longitude"":-3.6345798969269",Al Punto
10,10,MenuItem,Lomo de Bacalao a la Brasa con salsa bilbaína,Offer,22,EUR,ARROCES Y PESCADOS,8.9,"""Mediterráneo""","""Avenida Machupichu","""geo"":{""latitude"":40.461118066486,""longitude"":-3.6345798969269",Al Punto
11,11,MenuItem,Lubina a la Sal** (2 px),Offer,22,EUR,ARROCES Y PESCADOS,8.9,"""Mediterráneo""","""Avenida Machupichu","""geo"":{""latitude"":40.461118066486,""longitude"":-3.6345798969269",Al Punto
