,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,"Curry verde de bacalao, coco, lima y cilantro",Offer,11.5,EUR,Nuestros Platos en Bowl,9.1,"""Internacional""","""Calle Quintana","""geo"":{""latitude"":40.4273631,""longitude"":-3.7191135",Bowl Bar
1,1,MenuItem,Marmitako Bowl,Offer,12.0,EUR,Nuestros Platos en Bowl,9.1,"""Internacional""","""Calle Quintana","""geo"":{""latitude"":40.4273631,""longitude"":-3.7191135",Bowl Bar
2,2,MenuItem,Patarashca de la selva y sopa de elote,Offer,12.5,EUR,Nuestros Platos en Bowl,9.1,"""Internacional""","""Calle Quintana","""geo"":{""latitude"":40.4273631,""longitude"":-3.7191135",Bowl Bar
3,3,MenuItem,Nabemono de cangrejo y trufa,Offer,14.0,EUR,Nuestros Platos en Bowl,9.1,"""Internacional""","""Calle Quintana","""geo"":{""latitude"":40.4273631,""longitude"":-3.7191135",Bowl Bar
4,4,MenuItem,Noodles de pollo en pepitoria oriental,Offer,10.5,EUR,Nuestros Platos en Bowl,9.1,"""Internacional""","""Calle Quintana","""geo"":{""latitude"":40.4273631,""longitude"":-3.7191135",Bowl Bar
5,5,MenuItem,Steak Bowl tartar,Offer,14.0,EUR,Nuestros Platos en Bowl,9.1,"""Internacional""","""Calle Quintana","""geo"":{""latitude"":40.4273631,""longitude"":-3.7191135",Bowl Bar
6,6,MenuItem,Ramen ibérico,Offer,12.5,EUR,Nuestros Platos en Bowl,9.1,"""Internacional""","""Calle Quintana","""geo"":{""latitude"":40.4273631,""longitude"":-3.7191135",Bowl Bar
7,7,MenuItem,Kefta tajine de albóndigas de conejo al ajillo,Offer,12.5,EUR,Nuestros Platos en Bowl,9.1,"""Internacional""","""Calle Quintana","""geo"":{""latitude"":40.4273631,""longitude"":-3.7191135",Bowl Bar
8,8,MenuItem,Caldero mongol,Offer,14.0,EUR,Nuestros Platos en Bowl,9.1,"""Internacional""","""Calle Quintana","""geo"":{""latitude"":40.4273631,""longitude"":-3.7191135",Bowl Bar
9,9,MenuItem,Wok con tataki de vaca simmenthal,Offer,16.0,EUR,Nuestros Platos en Bowl,9.1,"""Internacional""","""Calle Quintana","""geo"":{""latitude"":40.4273631,""longitude"":-3.7191135",Bowl Bar
