,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Pica Pollo con tostones o patatas fritas pequeño,Offer,10.0,EUR,Platos Caribeños,8.7,"""Latino""","""Calle Esteban Collantes","""geo"":{""latitude"":40.4316483,""longitude"":-3.64088",Garden fried chicken
1,1,MenuItem,Pica Pollo con tostones o patatas fritas grande,Offer,15.0,EUR,Platos Caribeños,8.7,"""Latino""","""Calle Esteban Collantes","""geo"":{""latitude"":40.4316483,""longitude"":-3.64088",Garden fried chicken
2,2,MenuItem,"Picató (pollo, chicharrones y carne salada,) con tostones o patatas fritas pequeño",Offer,15.0,EUR,Platos Caribeños,8.7,"""Latino""","""Calle Esteban Collantes","""geo"":{""latitude"":40.4316483,""longitude"":-3.64088",Garden fried chicken
3,3,MenuItem,"Picató (pollo, chicharron y carne salada) con tostones o patatas fritas grande",Offer,20.0,EUR,Platos Caribeños,8.7,"""Latino""","""Calle Esteban Collantes","""geo"":{""latitude"":40.4316483,""longitude"":-3.64088",Garden fried chicken
4,4,MenuItem,Salami Dominicano con Tostones pequeño,Offer,5.0,EUR,Platos Caribeños,8.7,"""Latino""","""Calle Esteban Collantes","""geo"":{""latitude"":40.4316483,""longitude"":-3.64088",Garden fried chicken
5,5,MenuItem,Salami Dominicano con Tostones grande,Offer,10.0,EUR,Platos Caribeños,8.7,"""Latino""","""Calle Esteban Collantes","""geo"":{""latitude"":40.4316483,""longitude"":-3.64088",Garden fried chicken
6,6,MenuItem,Chicharron con Yuca grande,Offer,9.9,EUR,Platos Caribeños,8.7,"""Latino""","""Calle Esteban Collantes","""geo"":{""latitude"":40.4316483,""longitude"":-3.64088",Garden fried chicken
7,7,MenuItem,Carne Salada Racion de 10€,Offer,10.0,EUR,Platos Caribeños,8.7,"""Latino""","""Calle Esteban Collantes","""geo"":{""latitude"":40.4316483,""longitude"":-3.64088",Garden fried chicken
8,8,MenuItem,Chuleta Ahumada con tostones o Patatas Fritas,Offer,6.0,EUR,Platos Caribeños,8.7,"""Latino""","""Calle Esteban Collantes","""geo"":{""latitude"":40.4316483,""longitude"":-3.64088",Garden fried chicken
9,9,MenuItem,Carne Salada Racion de 15€,Offer,15.0,EUR,Platos Caribeños,8.7,"""Latino""","""Calle Esteban Collantes","""geo"":{""latitude"":40.4316483,""longitude"":-3.64088",Garden fried chicken
10,10,MenuItem,Pica Pollo con Tostones o Patatas Fritas 20€,Offer,20.0,EUR,Platos Caribeños,8.7,"""Latino""","""Calle Esteban Collantes","""geo"":{""latitude"":40.4316483,""longitude"":-3.64088",Garden fried chicken
