,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Margherita,Offer,6.9,EUR,Pizzas,9.1,None,"""Paseo de las Delicias","""geo"":{""latitude"":40.3933675,""longitude"":-3.6945818",Grappa PIzzeria & Brochet...
1,1,MenuItem,Tonno,Offer,7.5,EUR,Pizzas,9.1,None,"""Paseo de las Delicias","""geo"":{""latitude"":40.3933675,""longitude"":-3.6945818",Grappa PIzzeria & Brochet...
2,2,MenuItem,Quattro formaggi,Offer,7.9,EUR,Pizzas,9.1,None,"""Paseo de las Delicias","""geo"":{""latitude"":40.3933675,""longitude"":-3.6945818",Grappa PIzzeria & Brochet...
3,3,MenuItem,Diavola,Offer,7.9,EUR,Pizzas,9.1,None,"""Paseo de las Delicias","""geo"":{""latitude"":40.3933675,""longitude"":-3.6945818",Grappa PIzzeria & Brochet...
4,4,MenuItem,Trufa,Offer,10.9,EUR,Pizzas,9.1,None,"""Paseo de las Delicias","""geo"":{""latitude"":40.3933675,""longitude"":-3.6945818",Grappa PIzzeria & Brochet...
5,5,MenuItem,Carbonara,Offer,7.9,EUR,Pizzas,9.1,None,"""Paseo de las Delicias","""geo"":{""latitude"":40.3933675,""longitude"":-3.6945818",Grappa PIzzeria & Brochet...
6,6,MenuItem,Hawaiana,Offer,7.9,EUR,Pizzas,9.1,None,"""Paseo de las Delicias","""geo"":{""latitude"":40.3933675,""longitude"":-3.6945818",Grappa PIzzeria & Brochet...
7,7,MenuItem,Matrimonio,Offer,9.0,EUR,Pizzas,9.1,None,"""Paseo de las Delicias","""geo"":{""latitude"":40.3933675,""longitude"":-3.6945818",Grappa PIzzeria & Brochet...
8,8,MenuItem,Capricciosa,Offer,8.5,EUR,Pizzas,9.1,None,"""Paseo de las Delicias","""geo"":{""latitude"":40.3933675,""longitude"":-3.6945818",Grappa PIzzeria & Brochet...
9,9,MenuItem,Vegetariana,Offer,7.5,EUR,Pizzas,9.1,None,"""Paseo de las Delicias","""geo"":{""latitude"":40.3933675,""longitude"":-3.6945818",Grappa PIzzeria & Brochet...
10,10,MenuItem,Calzone,Offer,8.5,EUR,Pizzas,9.1,None,"""Paseo de las Delicias","""geo"":{""latitude"":40.3933675,""longitude"":-3.6945818",Grappa PIzzeria & Brochet...
