,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Shawrma árabe,Offer,13.0,EUR,Platos principales y Combinados,8.7,"""Árabe""","""Calle de Sta","""geo"":{""latitude"":40.4129603,""longitude"":-3.6978397",Habel Babel
1,1,MenuItem,Kabse,Offer,14.0,EUR,Platos principales y Combinados,8.7,"""Árabe""","""Calle de Sta","""geo"":{""latitude"":40.4129603,""longitude"":-3.6978397",Habel Babel
2,2,MenuItem,Maklube,Offer,14.0,EUR,Platos principales y Combinados,8.7,"""Árabe""","""Calle de Sta","""geo"":{""latitude"":40.4129603,""longitude"":-3.6978397",Habel Babel
3,3,MenuItem,Lahme Thinye,Offer,14.5,EUR,Platos principales y Combinados,8.7,"""Árabe""","""Calle de Sta","""geo"":{""latitude"":40.4129603,""longitude"":-3.6978397",Habel Babel
4,4,MenuItem,Kabab hindi,Offer,14.5,EUR,Platos principales y Combinados,8.7,"""Árabe""","""Calle de Sta","""geo"":{""latitude"":40.4129603,""longitude"":-3.6978397",Habel Babel
5,5,MenuItem,Shish tawuq,Offer,13.0,EUR,Platos principales y Combinados,8.7,"""Árabe""","""Calle de Sta","""geo"":{""latitude"":40.4129603,""longitude"":-3.6978397",Habel Babel
6,6,MenuItem,Kabab,Offer,14.0,EUR,Platos principales y Combinados,8.7,"""Árabe""","""Calle de Sta","""geo"":{""latitude"":40.4129603,""longitude"":-3.6978397",Habel Babel
7,7,MenuItem,Kharuf,Offer,15.0,EUR,Platos principales y Combinados,8.7,"""Árabe""","""Calle de Sta","""geo"":{""latitude"":40.4129603,""longitude"":-3.6978397",Habel Babel
8,8,MenuItem,Mashawi mshakal,Offer,18.0,EUR,Platos principales y Combinados,8.7,"""Árabe""","""Calle de Sta","""geo"":{""latitude"":40.4129603,""longitude"":-3.6978397",Habel Babel
9,9,MenuItem,Mehshi,Offer,15.0,EUR,Platos principales y Combinados,8.7,"""Árabe""","""Calle de Sta","""geo"":{""latitude"":40.4129603,""longitude"":-3.6978397",Habel Babel
