,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,"Parrillada de carne (chorizo, criollo, tiras, vacío, entraña) acompañado de ensalada mixta o patatas",Offer,46.9,EUR,Plato,8.5,"""Argentino""","""Calle de Teruel","""geo"":{""latitude"":40.4514566,""longitude"":-3.7020168",Iguazú Cocktail Club
1,1,MenuItem,"Hamburguesa especial (230 gr de ternera, jamón y queso mozzarella, lechuga, tomate y patatas fritas)",Offer,11.2,EUR,Plato,8.5,"""Argentino""","""Calle de Teruel","""geo"":{""latitude"":40.4514566,""longitude"":-3.7020168",Iguazú Cocktail Club
2,2,MenuItem,Milanesa de carne ( patatas o ensaladas),Offer,10.8,EUR,Plato,8.5,"""Argentino""","""Calle de Teruel","""geo"":{""latitude"":40.4514566,""longitude"":-3.7020168",Iguazú Cocktail Club
3,3,MenuItem,Milanesa de pollo ( patatas o ensaladas),Offer,10.2,EUR,Plato,8.5,"""Argentino""","""Calle de Teruel","""geo"":{""latitude"":40.4514566,""longitude"":-3.7020168",Iguazú Cocktail Club
4,4,MenuItem,Milanesa napolitana de carne ( patatas o ensaladas ),Offer,13.8,EUR,Plato,8.5,"""Argentino""","""Calle de Teruel","""geo"":{""latitude"":40.4514566,""longitude"":-3.7020168",Iguazú Cocktail Club
5,5,MenuItem,Milanesa napolitana de pollo ( ensaladas o patatas),Offer,12.8,EUR,Plato,8.5,"""Argentino""","""Calle de Teruel","""geo"":{""latitude"":40.4514566,""longitude"":-3.7020168",Iguazú Cocktail Club
6,6,MenuItem,Pollo al carbon 1/4 ( patatas o ensaladas),Offer,11.4,EUR,Plato,8.5,"""Argentino""","""Calle de Teruel","""geo"":{""latitude"":40.4514566,""longitude"":-3.7020168",Iguazú Cocktail Club
7,7,MenuItem,Secreto al carbon (patatas o ensaladas),Offer,11.8,EUR,Plato,8.5,"""Argentino""","""Calle de Teruel","""geo"":{""latitude"":40.4514566,""longitude"":-3.7020168",Iguazú Cocktail Club
8,8,MenuItem,"Pizza individual (jamon , carne , pollo)",Offer,9.8,EUR,Plato,8.5,"""Argentino""","""Calle de Teruel","""geo"":{""latitude"":40.4514566,""longitude"":-3.7020168",Iguazú Cocktail Club
9,9,MenuItem,"Ñoquis casero (con salsa de carne ,pollo, o de verduras)",Offer,11.4,EUR,Plato,8.5,"""Argentino""","""Calle de Teruel","""geo"":{""latitude"":40.4514566,""longitude"":-3.7020168",Iguazú Cocktail Club
