,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Salsa de tomate y albahaca,Offer,9.6,EUR,Recetas Vegetarianos y Veganos,9.3,"""Italiano""","""Calle de las Hileras","""geo"":{""latitude"":40.416751,""longitude"":-3.7083841",Impasta
1,1,MenuItem,"Ajo, aceite y guindilla",Offer,8.5,EUR,Recetas Vegetarianos y Veganos,9.3,"""Italiano""","""Calle de las Hileras","""geo"":{""latitude"":40.416751,""longitude"":-3.7083841",Impasta
2,2,MenuItem,Arrabbiata,Offer,11.2,EUR,Recetas Vegetarianos y Veganos,9.3,"""Italiano""","""Calle de las Hileras","""geo"":{""latitude"":40.416751,""longitude"":-3.7083841",Impasta
3,3,MenuItem,Brócolina,Offer,10.6,EUR,Recetas Vegetarianos y Veganos,9.3,"""Italiano""","""Calle de las Hileras","""geo"":{""latitude"":40.416751,""longitude"":-3.7083841",Impasta
4,4,MenuItem,Pesto di Basilico,Offer,11.9,EUR,Recetas Vegetarianos y Veganos,9.3,"""Italiano""","""Calle de las Hileras","""geo"":{""latitude"":40.416751,""longitude"":-3.7083841",Impasta
5,5,MenuItem,Pesto di Pistacho,Offer,13.9,EUR,Recetas Vegetarianos y Veganos,9.3,"""Italiano""","""Calle de las Hileras","""geo"":{""latitude"":40.416751,""longitude"":-3.7083841",Impasta
6,6,MenuItem,Zucchina,Offer,9.8,EUR,Recetas Vegetarianos y Veganos,9.3,"""Italiano""","""Calle de las Hileras","""geo"":{""latitude"":40.416751,""longitude"":-3.7083841",Impasta
7,7,MenuItem,Fungosa,Offer,10.8,EUR,Recetas Vegetarianos y Veganos,9.3,"""Italiano""","""Calle de las Hileras","""geo"":{""latitude"":40.416751,""longitude"":-3.7083841",Impasta
8,8,MenuItem,Norma,Offer,10.0,EUR,Recetas Vegetarianos y Veganos,9.3,"""Italiano""","""Calle de las Hileras","""geo"":{""latitude"":40.416751,""longitude"":-3.7083841",Impasta
9,9,MenuItem,Caccio & Pepe,Offer,12.0,EUR,Recetas Vegetarianos y Veganos,9.3,"""Italiano""","""Calle de las Hileras","""geo"":{""latitude"":40.416751,""longitude"":-3.7083841",Impasta
