,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Old buddy,Offer,10.9,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
1,1,MenuItem,Juancheese,Offer,12.5,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
2,2,MenuItem,Original,Offer,12.5,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
3,3,MenuItem,Psychedelic Swiss,Offer,13.0,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
4,4,MenuItem,Sunny,Offer,12.5,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
5,5,MenuItem,Cheese,Offer,13.0,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
6,6,MenuItem,Spanish Queen,Offer,12.5,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
7,7,MenuItem,The Pilgrim,Offer,12.5,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
8,8,MenuItem,The Salamanca,Offer,12.5,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
9,9,MenuItem,No Tears,Offer,13.0,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
10,10,MenuItem,Caribe,Offer,12.5,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
11,11,MenuItem,Tempura Boss,Offer,12.5,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
12,12,MenuItem,Truffle Goddes,Offer,12.5,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
13,13,MenuItem,Patacón Burger,Offer,12.5,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
14,14,MenuItem,The Veggie,Offer,12.5,EUR,Burgers,9,"""Americano""","""Calle del Conde de Peñalver","""geo"":{""latitude"":40.4308566,""longitude"":-3.6747826",Juanchis Burgers - C. Peñ...
