,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Cochinita Pibil,Offer,12.0,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
1,1,MenuItem,"Fajitas De Pollo, Carne o Mixtas",Offer,12.0,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
2,2,MenuItem,Fajitas Vegetarianas,Offer,9.0,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
3,3,MenuItem,"Alambre De Pollo, Carne o Mixtas",Offer,13.5,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
4,4,MenuItem,Tacos Al Pastor,Offer,12.0,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
5,5,MenuItem,Tacos Al Pastor con Queso,Offer,13.0,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
6,6,MenuItem,Pollo Con Flor de Calabaza,Offer,12.0,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
7,7,MenuItem,Pollo Al Chipotle,Offer,12.0,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
8,8,MenuItem,Tinga de Pavo,Offer,12.0,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
9,9,MenuItem,Guajolote Con Mole,Offer,12.95,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
10,10,MenuItem,Chile En Nogada,Offer,12.5,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
11,11,MenuItem,Tacos Campechanos,Offer,12.5,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
12,12,MenuItem,Ternera Al Huitlacoche,Offer,12.5,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
13,13,MenuItem,Mix Degustación (2 personas),Offer,27.0,EUR,Platos Principales,8.4,"""Mexicano""","""Calle Núñez de Arce","""geo"":{""latitude"":40.4159446,""longitude"":-3.7012188",Mero México
