,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,La Callejera,Offer,13.5,EUR,Hamburguesas,9.2,"""Americano""","""Calle Echegaray","""geo"":{""latitude"":40.4156313,""longitude"":-3.6996571",Pantín Grill
1,1,MenuItem,La Bacon,Offer,12.9,EUR,Hamburguesas,9.2,"""Americano""","""Calle Echegaray","""geo"":{""latitude"":40.4156313,""longitude"":-3.6996571",Pantín Grill
2,2,MenuItem,La Banana 2.0,Offer,12.9,EUR,Hamburguesas,9.2,"""Americano""","""Calle Echegaray","""geo"":{""latitude"":40.4156313,""longitude"":-3.6996571",Pantín Grill
3,3,MenuItem,La Pantín,Offer,12.9,EUR,Hamburguesas,9.2,"""Americano""","""Calle Echegaray","""geo"":{""latitude"":40.4156313,""longitude"":-3.6996571",Pantín Grill
4,4,MenuItem,La Kabra con K,Offer,10.9,EUR,Hamburguesas,9.2,"""Americano""","""Calle Echegaray","""geo"":{""latitude"":40.4156313,""longitude"":-3.6996571",Pantín Grill
5,5,MenuItem,La Volcánica,Offer,11.5,EUR,Hamburguesas,9.2,"""Americano""","""Calle Echegaray","""geo"":{""latitude"":40.4156313,""longitude"":-3.6996571",Pantín Grill
6,6,MenuItem,La Serrana,Offer,11.9,EUR,Hamburguesas,9.2,"""Americano""","""Calle Echegaray","""geo"":{""latitude"":40.4156313,""longitude"":-3.6996571",Pantín Grill
7,7,MenuItem,La Señorita,Offer,12.9,EUR,Hamburguesas,9.2,"""Americano""","""Calle Echegaray","""geo"":{""latitude"":40.4156313,""longitude"":-3.6996571",Pantín Grill
8,8,MenuItem,La Granjera,Offer,10.9,EUR,Hamburguesas,9.2,"""Americano""","""Calle Echegaray","""geo"":{""latitude"":40.4156313,""longitude"":-3.6996571",Pantín Grill
9,9,MenuItem,La Cochinita,Offer,10.9,EUR,Hamburguesas,9.2,"""Americano""","""Calle Echegaray","""geo"":{""latitude"":40.4156313,""longitude"":-3.6996571",Pantín Grill
10,10,MenuItem,La Cachopina,Offer,13.9,EUR,Hamburguesas,9.2,"""Americano""","""Calle Echegaray","""geo"":{""latitude"":40.4156313,""longitude"":-3.6996571",Pantín Grill
