,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Anchoa 00 con tomate ecológico rallado y queso idiazabal,Offer,14,EUR,ENTRANTES PARA COMPARTIR,9,"""Mediterráneo""","""Calle Gran Vía","""geo"":{""latitude"":40.4201097,""longitude"":-3.7008322",Restaurante Círculo Merca...
1,1,MenuItem,"Flamenquín de pluma ibérica relleno de jamón ibérico, huevo y queso payoyo trufado con patatas fritas",Offer,16,EUR,ENTRANTES PARA COMPARTIR,9,"""Mediterráneo""","""Calle Gran Vía","""geo"":{""latitude"":40.4201097,""longitude"":-3.7008322",Restaurante Círculo Merca...
2,2,MenuItem,Carpaccio de vieiras y manitas de cerdo y su jugo,Offer,16,EUR,ENTRANTES PARA COMPARTIR,9,"""Mediterráneo""","""Calle Gran Vía","""geo"":{""latitude"":40.4201097,""longitude"":-3.7008322",Restaurante Círculo Merca...
3,3,MenuItem,"Cremoso de calabaza, taco de papada confitada, gambón a la parrilla y emusión de sus cabezas",Offer,10,EUR,ENTRANTES PARA COMPARTIR,9,"""Mediterráneo""","""Calle Gran Vía","""geo"":{""latitude"":40.4201097,""longitude"":-3.7008322",Restaurante Círculo Merca...
4,4,MenuItem,"Alcachofas confitadas en aceite de oliva con brandada de bacalao, torreznos de su piel y lascas de jamón",Offer,16,EUR,ENTRANTES PARA COMPARTIR,9,"""Mediterráneo""","""Calle Gran Vía","""geo"":{""latitude"":40.4201097,""longitude"":-3.7008322",Restaurante Círculo Merca...
5,5,MenuItem,Tartar de atún rojo sobre tortillita de camarones (2 unidades),Offer,16,EUR,ENTRANTES PARA COMPARTIR,9,"""Mediterráneo""","""Calle Gran Vía","""geo"":{""latitude"":40.4201097,""longitude"":-3.7008322",Restaurante Círculo Merca...
6,6,MenuItem,"Huevo a baja temperatura sobre crema de coliflor, chipirones, panceta y alcachofa confitada",Offer,16,EUR,ENTRANTES PARA COMPARTIR,9,"""Mediterráneo""","""Calle Gran Vía","""geo"":{""latitude"":40.4201097,""longitude"":-3.7008322",Restaurante Círculo Merca...
7,7,MenuItem,Lubina Frita con ensalada de pimientos asados y mayonesa gaditana,Offer,26,EUR,ENTRANTES PARA COMPARTIR,9,"""Mediterráneo""","""Calle Gran Vía","""geo"":{""latitude"":40.4201097,""longitude"":-3.7008322",Restaurante Círculo Merca...
8,8,MenuItem,Langostinos al ajillo con toque de manzanilla,Offer,12,EUR,ENTRANTES PARA COMPARTIR,9,"""Mediterráneo""","""Calle Gran Vía","""geo"":{""latitude"":40.4201097,""longitude"":-3.7008322",Restaurante Círculo Merca...
9,9,MenuItem,Canelón de pollo de corral en pepitoria con salsa de setas,Offer,14,EUR,ENTRANTES PARA COMPARTIR,9,"""Mediterráneo""","""Calle Gran Vía","""geo"":{""latitude"":40.4201097,""longitude"":-3.7008322",Restaurante Círculo Merca...
10,10,MenuItem,"Timbal de pimiento asado con huevo de corral frito, gambas de cristal y mayonesa gaditana",Offer,12,EUR,ENTRANTES PARA COMPARTIR,9,"""Mediterráneo""","""Calle Gran Vía","""geo"":{""latitude"":40.4201097,""longitude"":-3.7008322",Restaurante Círculo Merca...
