,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Verduras de Temporada al Horno (Ración),Offer,16,EUR,DA HORTA Entradas para compartir:,9.2,"""Gallego""","""C","""geo"":{""latitude"":40.442400790152,""longitude"":-3.6712400913239",Rias Bajas -Clara del Rey-
1,1,MenuItem,Trigueros a la Plancha con Escamas de Sal (Ración),Offer,16,EUR,DA HORTA Entradas para compartir:,9.2,"""Gallego""","""C","""geo"":{""latitude"":40.442400790152,""longitude"":-3.6712400913239",Rias Bajas -Clara del Rey-
2,2,MenuItem,Pimientos de Padrón (Uns pican e outros non) (Ración),Offer,14,EUR,DA HORTA Entradas para compartir:,9.2,"""Gallego""","""C","""geo"":{""latitude"":40.442400790152,""longitude"":-3.6712400913239",Rias Bajas -Clara del Rey-
3,3,MenuItem,Pimientos de Padrón (Uns pican e outros non) (1/2 Ración),Offer,8,EUR,DA HORTA Entradas para compartir:,9.2,"""Gallego""","""C","""geo"":{""latitude"":40.442400790152,""longitude"":-3.6712400913239",Rias Bajas -Clara del Rey-
4,4,MenuItem,Ensalada Mixta ¨como las de antes¨ (Ración),Offer,15,EUR,DA HORTA Entradas para compartir:,9.2,"""Gallego""","""C","""geo"":{""latitude"":40.442400790152,""longitude"":-3.6712400913239",Rias Bajas -Clara del Rey-
5,5,MenuItem,Ensalada Mixta ¨como las de antes¨ (1/2 Ración),Offer,9,EUR,DA HORTA Entradas para compartir:,9.2,"""Gallego""","""C","""geo"":{""latitude"":40.442400790152,""longitude"":-3.6712400913239",Rias Bajas -Clara del Rey-
6,6,MenuItem,Ensalada de Queixo de Cabra (Ración),Offer,15,EUR,DA HORTA Entradas para compartir:,9.2,"""Gallego""","""C","""geo"":{""latitude"":40.442400790152,""longitude"":-3.6712400913239",Rias Bajas -Clara del Rey-
7,7,MenuItem,Ensalada de Queixo de Cabra (1/2 Ración),Offer,9,EUR,DA HORTA Entradas para compartir:,9.2,"""Gallego""","""C","""geo"":{""latitude"":40.442400790152,""longitude"":-3.6712400913239",Rias Bajas -Clara del Rey-
8,8,MenuItem,"Tomate con Cebolleta, Piquillo y Atún (Ración)",Offer,15,EUR,DA HORTA Entradas para compartir:,9.2,"""Gallego""","""C","""geo"":{""latitude"":40.442400790152,""longitude"":-3.6712400913239",Rias Bajas -Clara del Rey-
9,9,MenuItem,"Tomate con Cebolleta, Piquillo y Atún (1/2 Ración)",Offer,9,EUR,DA HORTA Entradas para compartir:,9.2,"""Gallego""","""C","""geo"":{""latitude"":40.442400790152,""longitude"":-3.6712400913239",Rias Bajas -Clara del Rey-
