,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Yucatecos,Offer,8.9,EUR,Tacos,9,"""Mexicano""","""Plaza de Cascorro","""geo"":{""latitude"":40.4112132,""longitude"":-3.7071356",Sahuaro
1,1,MenuItem,Norteños,Offer,8.9,EUR,Tacos,9,"""Mexicano""","""Plaza de Cascorro","""geo"":{""latitude"":40.4112132,""longitude"":-3.7071356",Sahuaro
2,2,MenuItem,Guerreros,Offer,8.9,EUR,Tacos,9,"""Mexicano""","""Plaza de Cascorro","""geo"":{""latitude"":40.4112132,""longitude"":-3.7071356",Sahuaro
3,3,MenuItem,Del campo,Offer,8.9,EUR,Tacos,9,"""Mexicano""","""Plaza de Cascorro","""geo"":{""latitude"":40.4112132,""longitude"":-3.7071356",Sahuaro
4,4,MenuItem,Sahuaro,Offer,8.9,EUR,Tacos,9,"""Mexicano""","""Plaza de Cascorro","""geo"":{""latitude"":40.4112132,""longitude"":-3.7071356",Sahuaro
5,5,MenuItem,Poblano,Offer,8.9,EUR,Tacos,9,"""Mexicano""","""Plaza de Cascorro","""geo"":{""latitude"":40.4112132,""longitude"":-3.7071356",Sahuaro
6,6,MenuItem,Pastor,Offer,8.9,EUR,Tacos,9,"""Mexicano""","""Plaza de Cascorro","""geo"":{""latitude"":40.4112132,""longitude"":-3.7071356",Sahuaro
7,7,MenuItem,Pacifico,Offer,8.9,EUR,Tacos,9,"""Mexicano""","""Plaza de Cascorro","""geo"":{""latitude"":40.4112132,""longitude"":-3.7071356",Sahuaro
8,8,MenuItem,Taco Marino,Offer,8.9,EUR,Tacos,9,"""Mexicano""","""Plaza de Cascorro","""geo"":{""latitude"":40.4112132,""longitude"":-3.7071356",Sahuaro
9,9,MenuItem,Taco Árabe,Offer,8.9,EUR,Tacos,9,"""Mexicano""","""Plaza de Cascorro","""geo"":{""latitude"":40.4112132,""longitude"":-3.7071356",Sahuaro
