,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Sushi salmón,Offer,3.95,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
1,1,MenuItem,Sushi atún,Offer,4.75,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
2,2,MenuItem,Sushi pez mantequilla,Offer,4.25,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
3,3,MenuItem,Sushi toro,Offer,6.35,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
4,4,MenuItem,Sushi pez limón,Offer,5.25,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
5,5,MenuItem,Sushi corvina,Offer,3.95,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
6,6,MenuItem,Sushi gamba dulce,Offer,4.35,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
7,7,MenuItem,Sushi pez del día,,,,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
8,8,MenuItem,Sushi hotate,Offer,5.75,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
9,9,MenuItem,Sushi tataki wagyu,Offer,5.25,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
10,10,MenuItem,Huevo de codorniz,Offer,4.25,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
11,11,MenuItem,Escalope de foie flambeado,Offer,5.95,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
12,12,MenuItem,Sushi unagi,Offer,4.5,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
13,13,MenuItem,Sushi ebi bota gamba,Offer,8.95,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
14,14,MenuItem,Sushi ikura,Offer,6.65,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
15,15,MenuItem,Sushi variado (9 unidades),Offer,18.95,EUR,Sushi / Nigiri Clásicos (2 unidades),9.3,"""Japonés""","""Calle de Silvano","""geo"":{""latitude"":40.4625507,""longitude"":-3.6373111",Tsukiji Sushi Bar
