,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Gnocchi con Salsa de Queso Gorgonzola y Rociada con Nueces,Offer,10.95,EUR,Pasta fresca de elaboración propia trafilati al bronzo,9.4,"""Italiano""","""Calle Escosura","""geo"":{""latitude"":40.4351957,""longitude"":-3.7067459",Virtu italiana
1,1,MenuItem,Tagliatelle Pasta alla Bolognese,Offer,11.95,EUR,Pasta fresca de elaboración propia trafilati al bronzo,9.4,"""Italiano""","""Calle Escosura","""geo"":{""latitude"":40.4351957,""longitude"":-3.7067459",Virtu italiana
2,2,MenuItem,"Spaghetti Pasta Burro, Caccio, Peppe e Tartufo",Offer,11.95,EUR,Pasta fresca de elaboración propia trafilati al bronzo,9.4,"""Italiano""","""Calle Escosura","""geo"":{""latitude"":40.4351957,""longitude"":-3.7067459",Virtu italiana
3,3,MenuItem,"Torchietti Pasta Burro, Caccio, Peppe e Tartufo",Offer,11.95,EUR,Pasta fresca de elaboración propia trafilati al bronzo,9.4,"""Italiano""","""Calle Escosura","""geo"":{""latitude"":40.4351957,""longitude"":-3.7067459",Virtu italiana
4,4,MenuItem,Mezzaluna di Ricotta Pera con Crema de Gorgonzola y Nueces,Offer,11.95,EUR,Pasta fresca de elaboración propia trafilati al bronzo,9.4,"""Italiano""","""Calle Escosura","""geo"":{""latitude"":40.4351957,""longitude"":-3.7067459",Virtu italiana
5,5,MenuItem,Spaghetti Cabronatta,Offer,10.95,EUR,Pasta fresca de elaboración propia trafilati al bronzo,9.4,"""Italiano""","""Calle Escosura","""geo"":{""latitude"":40.4351957,""longitude"":-3.7067459",Virtu italiana
6,6,MenuItem,Gnocchi Bolognese,Offer,11.95,EUR,Pasta fresca de elaboración propia trafilati al bronzo,9.4,"""Italiano""","""Calle Escosura","""geo"":{""latitude"":40.4351957,""longitude"":-3.7067459",Virtu italiana
7,7,MenuItem,Casarecce Pesto,Offer,9.95,EUR,Pasta fresca de elaboración propia trafilati al bronzo,9.4,"""Italiano""","""Calle Escosura","""geo"":{""latitude"":40.4351957,""longitude"":-3.7067459",Virtu italiana
8,8,MenuItem,Spaghetti Pasta Pomodoro e Basilico,Offer,10.95,EUR,Pasta fresca de elaboración propia trafilati al bronzo,9.4,"""Italiano""","""Calle Escosura","""geo"":{""latitude"":40.4351957,""longitude"":-3.7067459",Virtu italiana
9,9,MenuItem,Ravioli de Ricotta con Espinaca,Offer,11.95,EUR,Pasta fresca de elaboración propia trafilati al bronzo,9.4,"""Italiano""","""Calle Escosura","""geo"":{""latitude"":40.4351957,""longitude"":-3.7067459",Virtu italiana
