,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Goulash de ciervo con setas de temporada,Offer,18.0,EUR,Carnes,9,"""Mediterráneo""","""Paseo de la Habana","""geo"":{""latitude"":40.4555655475,""longitude"":-3.6819200515747",Al Paseo
1,1,MenuItem,Hamburguesa de Wagyu con guarnición,Offer,18.0,EUR,Carnes,9,"""Mediterráneo""","""Paseo de la Habana","""geo"":{""latitude"":40.4555655475,""longitude"":-3.6819200515747",Al Paseo
2,2,MenuItem,Magret de Pato en Salsa Maracuya,Offer,16.0,EUR,Carnes,9,"""Mediterráneo""","""Paseo de la Habana","""geo"":{""latitude"":40.4555655475,""longitude"":-3.6819200515747",Al Paseo
3,3,MenuItem,Carpaccio de lomo con rúcula y parmesano,Offer,18.0,EUR,Carnes,9,"""Mediterráneo""","""Paseo de la Habana","""geo"":{""latitude"":40.4555655475,""longitude"":-3.6819200515747",Al Paseo
4,4,MenuItem,Albondigas de ternera caseras,Offer,16.0,EUR,Carnes,9,"""Mediterráneo""","""Paseo de la Habana","""geo"":{""latitude"":40.4555655475,""longitude"":-3.6819200515747",Al Paseo
5,5,MenuItem,Chuletitas o riñones de Lechal a la brasa,Offer,20.0,EUR,Carnes,9,"""Mediterráneo""","""Paseo de la Habana","""geo"":{""latitude"":40.4555655475,""longitude"":-3.6819200515747",Al Paseo
6,6,MenuItem,Steak Tartar con patatas souffle,Offer,23.0,EUR,Carnes,9,"""Mediterráneo""","""Paseo de la Habana","""geo"":{""latitude"":40.4555655475,""longitude"":-3.6819200515747",Al Paseo
7,7,MenuItem,Cochinillo Lechal Confitado y Crujiente,Offer,22.0,EUR,Carnes,9,"""Mediterráneo""","""Paseo de la Habana","""geo"":{""latitude"":40.4555655475,""longitude"":-3.6819200515747",Al Paseo
8,8,MenuItem,Villagodio de vacuno a la brasa de encinas,Offer,22.0,EUR,Carnes,9,"""Mediterráneo""","""Paseo de la Habana","""geo"":{""latitude"":40.4555655475,""longitude"":-3.6819200515747",Al Paseo
9,9,MenuItem,Solomillo a la Brasa o con Foie en salsa de Trufas,Offer,23.5,EUR,Carnes,9,"""Mediterráneo""","""Paseo de la Habana","""geo"":{""latitude"":40.4555655475,""longitude"":-3.6819200515747",Al Paseo
10,10,MenuItem,Patatas souffle o pimientos de Padrón,Offer,7.0,EUR,Carnes,9,"""Mediterráneo""","""Paseo de la Habana","""geo"":{""latitude"":40.4555655475,""longitude"":-3.6819200515747",Al Paseo
