,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Tejas y cigarrillos exclusivos de Tolosa,Offer,7.25,EUR,Postres,9.1,"""Asador""","""Calle Cava Baja","""geo"":{""latitude"":40.4128134,""longitude"":-3.7087885",Casa Julián de Tolosa Cav...
1,1,MenuItem,Queso Roncal,Offer,7.25,EUR,Postres,9.1,"""Asador""","""Calle Cava Baja","""geo"":{""latitude"":40.4128134,""longitude"":-3.7087885",Casa Julián de Tolosa Cav...
2,2,MenuItem,Arroz con leche de la abuela,Offer,7.25,EUR,Postres,9.1,"""Asador""","""Calle Cava Baja","""geo"":{""latitude"":40.4128134,""longitude"":-3.7087885",Casa Julián de Tolosa Cav...
3,3,MenuItem,Tocino de cielo de confitería El Riojano,Offer,7.25,EUR,Postres,9.1,"""Asador""","""Calle Cava Baja","""geo"":{""latitude"":40.4128134,""longitude"":-3.7087885",Casa Julián de Tolosa Cav...
4,4,MenuItem,Milhojas de vainilla de Paco Torreblanca,Offer,7.25,EUR,Postres,9.1,"""Asador""","""Calle Cava Baja","""geo"":{""latitude"":40.4128134,""longitude"":-3.7087885",Casa Julián de Tolosa Cav...
5,5,MenuItem,Membrillo de confitería El Riojano,Offer,5.5,EUR,Postres,9.1,"""Asador""","""Calle Cava Baja","""geo"":{""latitude"":40.4128134,""longitude"":-3.7087885",Casa Julián de Tolosa Cav...
6,6,MenuItem,Sorbete de limón al cava,Offer,7.25,EUR,Postres,9.1,"""Asador""","""Calle Cava Baja","""geo"":{""latitude"":40.4128134,""longitude"":-3.7087885",Casa Julián de Tolosa Cav...
7,7,MenuItem,Cuajada con leche de oveja lacha estilo Matías Gorrochategui,Offer,7.25,EUR,Postres,9.1,"""Asador""","""Calle Cava Baja","""geo"":{""latitude"":40.4128134,""longitude"":-3.7087885",Casa Julián de Tolosa Cav...
8,8,MenuItem,Pastel vasco Rafa Gorrochategui,Offer,7.25,EUR,Postres,9.1,"""Asador""","""Calle Cava Baja","""geo"":{""latitude"":40.4128134,""longitude"":-3.7087885",Casa Julián de Tolosa Cav...
9,9,MenuItem,Zumo de naranja,Offer,5.5,EUR,Postres,9.1,"""Asador""","""Calle Cava Baja","""geo"":{""latitude"":40.4128134,""longitude"":-3.7087885",Casa Julián de Tolosa Cav...
