,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Vinos Tintos / Red Wines,,,,Carta de Vinos / Wine List,9.3,None,"""Calle de Hernán Cortés","""geo"":{""latitude"":40.4233848,""longitude"":-3.6994513",El Social
1,1,MenuItem,D.O. Rioja,Offer,18.0,EUR,Carta de Vinos / Wine List,9.3,None,"""Calle de Hernán Cortés","""geo"":{""latitude"":40.4233848,""longitude"":-3.6994513",El Social
2,2,MenuItem,D.O. Rioja,Offer,24.0,EUR,Carta de Vinos / Wine List,9.3,None,"""Calle de Hernán Cortés","""geo"":{""latitude"":40.4233848,""longitude"":-3.6994513",El Social
3,3,MenuItem,D.O. Ribera del Duero,Offer,22.0,EUR,Carta de Vinos / Wine List,9.3,None,"""Calle de Hernán Cortés","""geo"":{""latitude"":40.4233848,""longitude"":-3.6994513",El Social
4,4,MenuItem,D.O. Ribera del Duero,Offer,22.0,EUR,Carta de Vinos / Wine List,9.3,None,"""Calle de Hernán Cortés","""geo"":{""latitude"":40.4233848,""longitude"":-3.6994513",El Social
5,5,MenuItem,Ceres Crianza 2016,Offer,20.0,EUR,Carta de Vinos / Wine List,9.3,None,"""Calle de Hernán Cortés","""geo"":{""latitude"":40.4233848,""longitude"":-3.6994513",El Social
6,6,MenuItem,AM3 Cosecha 2018,Offer,3.5,EUR,Carta de Vinos / Wine List,9.3,None,"""Calle de Hernán Cortés","""geo"":{""latitude"":40.4233848,""longitude"":-3.6994513",El Social
7,7,MenuItem,D.O. Bierzo,Offer,18.0,EUR,Carta de Vinos / Wine List,9.3,None,"""Calle de Hernán Cortés","""geo"":{""latitude"":40.4233848,""longitude"":-3.6994513",El Social
8,8,MenuItem,D.O. Jumilla,Offer,20.0,EUR,Carta de Vinos / Wine List,9.3,None,"""Calle de Hernán Cortés","""geo"":{""latitude"":40.4233848,""longitude"":-3.6994513",El Social
9,9,MenuItem,D.O. Tierra de Castilla,Offer,18.0,EUR,Carta de Vinos / Wine List,9.3,None,"""Calle de Hernán Cortés","""geo"":{""latitude"":40.4233848,""longitude"":-3.6994513",El Social
10,10,MenuItem,D.O. Tierra de Castilla,Offer,18.0,EUR,Carta de Vinos / Wine List,9.3,None,"""Calle de Hernán Cortés","""geo"":{""latitude"":40.4233848,""longitude"":-3.6994513",El Social
11,11,MenuItem,Vinos de Madrid,Offer,20.0,EUR,Carta de Vinos / Wine List,9.3,None,"""Calle de Hernán Cortés","""geo"":{""latitude"":40.4233848,""longitude"":-3.6994513",El Social
12,12,MenuItem,D.O. Somontano,Offer,18.0,EUR,Carta de Vinos / Wine List,9.3,None,"""Calle de Hernán Cortés","""geo"":{""latitude"":40.4233848,""longitude"":-3.6994513",El Social
