,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Margherita,Offer,8.9,EUR,Pizza,8.8,"""Italiano""","""Calle del Marqués de Urquijo","""geo"":{""latitude"":40.429566,""longitude"":-3.7191032",Il Cratere del Gusto
1,1,MenuItem,"1. BARBACOA salsa de barbacoa, mozzarella, pollo y maíz.",Offer,9.9,EUR,Pizza,8.8,"""Italiano""","""Calle del Marqués de Urquijo","""geo"":{""latitude"":40.429566,""longitude"":-3.7191032",Il Cratere del Gusto
2,2,MenuItem,"2. BIANCA salsa de nata, gorgonzola mozzarella y parmesano.",Offer,9.9,EUR,Pizza,8.8,"""Italiano""","""Calle del Marqués de Urquijo","""geo"":{""latitude"":40.429566,""longitude"":-3.7191032",Il Cratere del Gusto
3,3,MenuItem,"3. BOLOGNESA salsa boloñesa, mozzarella y jamón york.",Offer,9.9,EUR,Pizza,8.8,"""Italiano""","""Calle del Marqués de Urquijo","""geo"":{""latitude"":40.429566,""longitude"":-3.7191032",Il Cratere del Gusto
4,4,MenuItem,"4. CALZONE salsa de tomate, mozzarella, champiñones y jamón york.",Offer,9.9,EUR,Pizza,8.8,"""Italiano""","""Calle del Marqués de Urquijo","""geo"":{""latitude"":40.429566,""longitude"":-3.7191032",Il Cratere del Gusto
5,5,MenuItem,"5. CAMPANIA salsa de tomate, tomate cherry, búfala y albahaca",Offer,10.9,EUR,Pizza,8.8,"""Italiano""","""Calle del Marqués de Urquijo","""geo"":{""latitude"":40.429566,""longitude"":-3.7191032",Il Cratere del Gusto
6,6,MenuItem,"6. CAPRICCIOSA tomate, mozzarella, jamón york, champiñones, aceitunas, alcachofas.",Offer,10.9,EUR,Pizza,8.8,"""Italiano""","""Calle del Marqués de Urquijo","""geo"":{""latitude"":40.429566,""longitude"":-3.7191032",Il Cratere del Gusto
7,7,MenuItem,"7. CARNIVORA salsa de tomate, jamón york, bacon, chorizo y pepperoni.",Offer,10.9,EUR,Pizza,8.8,"""Italiano""","""Calle del Marqués de Urquijo","""geo"":{""latitude"":40.429566,""longitude"":-3.7191032",Il Cratere del Gusto
8,8,MenuItem,"8. CRATERE pizza rellena de mozzarella, boletus, jamón york y boloñesa",Offer,10.9,EUR,Pizza,8.8,"""Italiano""","""Calle del Marqués de Urquijo","""geo"":{""latitude"":40.429566,""longitude"":-3.7191032",Il Cratere del Gusto
9,9,MenuItem,"9. DIAVOLA salsa de tomate, mozzarella y chorizo picante.",Offer,9.9,EUR,Pizza,8.8,"""Italiano""","""Calle del Marqués de Urquijo","""geo"":{""latitude"":40.429566,""longitude"":-3.7191032",Il Cratere del Gusto
10,10,MenuItem,"25. VEGETERIANA salsa de tomate, mozzarella y verdura fresca.",Offer,9.9,EUR,Pizza,8.8,"""Italiano""","""Calle del Marqués de Urquijo","""geo"":{""latitude"":40.429566,""longitude"":-3.7191032",Il Cratere del Gusto
