,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Bandeja Paisa,Offer,15.0,EUR,Platos típicos,9.4,"""Colombiano""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4336661,""longitude"":-3.7025416",La Rochela
1,1,MenuItem,Bandeja colombiana,Offer,13.0,EUR,Platos típicos,9.4,"""Colombiano""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4336661,""longitude"":-3.7025416",La Rochela
2,2,MenuItem,Lengua en salsa,Offer,14.5,EUR,Platos típicos,9.4,"""Colombiano""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4336661,""longitude"":-3.7025416",La Rochela
3,3,MenuItem,Chuleta Valluna,Offer,14.0,EUR,Platos típicos,9.4,"""Colombiano""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4336661,""longitude"":-3.7025416",La Rochela
4,4,MenuItem,Sancocho,Offer,14.5,EUR,Platos típicos,9.4,"""Colombiano""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4336661,""longitude"":-3.7025416",La Rochela
5,5,MenuItem,Mondongo,Offer,14.0,EUR,Platos típicos,9.4,"""Colombiano""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4336661,""longitude"":-3.7025416",La Rochela
6,6,MenuItem,Cazuela de frijoles,Offer,13.0,EUR,Platos típicos,9.4,"""Colombiano""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4336661,""longitude"":-3.7025416",La Rochela
7,7,MenuItem,Viudo de pescado,Offer,16.0,EUR,Platos típicos,9.4,"""Colombiano""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4336661,""longitude"":-3.7025416",La Rochela
8,8,MenuItem,Chuzos de pollo,Offer,15.0,EUR,Platos típicos,9.4,"""Colombiano""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4336661,""longitude"":-3.7025416",La Rochela
9,9,MenuItem,Picada Rumbera,Offer,30.0,EUR,Platos típicos,9.4,"""Colombiano""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4336661,""longitude"":-3.7025416",La Rochela
10,10,MenuItem,Ceviche de camarones,Offer,13.0,EUR,Platos típicos,9.4,"""Colombiano""","""Calle del Cardenal Cisneros","""geo"":{""latitude"":40.4336661,""longitude"":-3.7025416",La Rochela
