,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Beef Balti,Offer,9.0,EUR,Beef (Ternera) Curry Especial de Baisakhi,8.8,"""Indio""","""Calle de Lavapiés","""geo"":{""latitude"":40.4097396,""longitude"":-3.7025382",Baisakhi
1,1,MenuItem,Beef Kurma,Offer,8.0,EUR,Beef (Ternera) Curry Especial de Baisakhi,8.8,"""Indio""","""Calle de Lavapiés","""geo"":{""latitude"":40.4097396,""longitude"":-3.7025382",Baisakhi
2,2,MenuItem,Beef Pudina,Offer,8.5,EUR,Beef (Ternera) Curry Especial de Baisakhi,8.8,"""Indio""","""Calle de Lavapiés","""geo"":{""latitude"":40.4097396,""longitude"":-3.7025382",Baisakhi
3,3,MenuItem,Beef Madras,Offer,9.0,EUR,Beef (Ternera) Curry Especial de Baisakhi,8.8,"""Indio""","""Calle de Lavapiés","""geo"":{""latitude"":40.4097396,""longitude"":-3.7025382",Baisakhi
4,4,MenuItem,Beef Dopiaza,Offer,9.0,EUR,Beef (Ternera) Curry Especial de Baisakhi,8.8,"""Indio""","""Calle de Lavapiés","""geo"":{""latitude"":40.4097396,""longitude"":-3.7025382",Baisakhi
5,5,MenuItem,Beef Tikka Masala,Offer,8.0,EUR,Beef (Ternera) Curry Especial de Baisakhi,8.8,"""Indio""","""Calle de Lavapiés","""geo"":{""latitude"":40.4097396,""longitude"":-3.7025382",Baisakhi
6,6,MenuItem,Beef Dal Gush,Offer,7.0,EUR,Beef (Ternera) Curry Especial de Baisakhi,8.8,"""Indio""","""Calle de Lavapiés","""geo"":{""latitude"":40.4097396,""longitude"":-3.7025382",Baisakhi
7,7,MenuItem,Beef Motor,Offer,8.0,EUR,Beef (Ternera) Curry Especial de Baisakhi,8.8,"""Indio""","""Calle de Lavapiés","""geo"":{""latitude"":40.4097396,""longitude"":-3.7025382",Baisakhi
8,8,MenuItem,Beef Palak,Offer,8.0,EUR,Beef (Ternera) Curry Especial de Baisakhi,8.8,"""Indio""","""Calle de Lavapiés","""geo"":{""latitude"":40.4097396,""longitude"":-3.7025382",Baisakhi
9,9,MenuItem,Beef Kevez,Offer,8.5,EUR,Beef (Ternera) Curry Especial de Baisakhi,8.8,"""Indio""","""Calle de Lavapiés","""geo"":{""latitude"":40.4097396,""longitude"":-3.7025382",Baisakhi
