,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Entrecot cebon gallego,Offer,17.6,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
1,1,MenuItem,Estofado de añojo con puré de manzana,Offer,15.4,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
2,2,MenuItem,Medio pollo asado en su jugo,Offer,13.2,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
3,3,MenuItem,Bistec de ternera,Offer,13.2,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
4,4,MenuItem,Albóndigas caseras en salsa española,Offer,15.4,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
5,5,MenuItem,Solomillo de ibérico en salsa de Cabrales,Offer,17.6,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
6,6,MenuItem,Hamburguesa de buey (200 gr.) con reducción de mango,Offer,13.2,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
7,7,MenuItem,Carne con tomate a la extremeña,Offer,15.4,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
8,8,MenuItem,Lubina al horno,Offer,13.2,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
9,9,MenuItem,Dorada a la bilbaína,Offer,13.2,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
10,10,MenuItem,Tronco de salmón a la madrileña,Offer,13.2,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
11,11,MenuItem,Bacalao a la vizcaína,Offer,15.4,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
12,12,MenuItem,Chipirones en su tinta,Offer,17.6,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
13,13,MenuItem,Emperador a la plancha,Offer,15.4,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
14,14,MenuItem,Pimientos del piquillo rellenos de merluza,Offer,17.6,EUR,Carnes y pescados,8.9,"""Castellano""","""C","""geo"":{""latitude"":40.421314390047,""longitude"":-3.7098500728607",El Ingenio de Cervantes
