,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,AREPA DE JAMON YORK,Offer,4.0,EUR,VENEZOLANO,8.5,"""Venezolano""","""Calle de Pedro Unanue","""geo"":{""latitude"":40.4036658,""longitude"":-3.694061",Mesón el bodegón
1,1,MenuItem,AREPA DE QUESO EDAM,Offer,4.0,EUR,VENEZOLANO,8.5,"""Venezolano""","""Calle de Pedro Unanue","""geo"":{""latitude"":40.4036658,""longitude"":-3.694061",Mesón el bodegón
2,2,MenuItem,AREPA DE JAMON YORK Y QUESO EDAM,Offer,4.5,EUR,VENEZOLANO,8.5,"""Venezolano""","""Calle de Pedro Unanue","""geo"":{""latitude"":40.4036658,""longitude"":-3.694061",Mesón el bodegón
3,3,MenuItem,AREPA DE REINA PEPIADA,Offer,4.0,EUR,VENEZOLANO,8.5,"""Venezolano""","""Calle de Pedro Unanue","""geo"":{""latitude"":40.4036658,""longitude"":-3.694061",Mesón el bodegón
4,4,MenuItem,AREPA DE CARNE MECHADA,Offer,4.5,EUR,VENEZOLANO,8.5,"""Venezolano""","""Calle de Pedro Unanue","""geo"":{""latitude"":40.4036658,""longitude"":-3.694061",Mesón el bodegón
5,5,MenuItem,AREPA DE ENSALADILLA,Offer,4.0,EUR,VENEZOLANO,8.5,"""Venezolano""","""Calle de Pedro Unanue","""geo"":{""latitude"":40.4036658,""longitude"":-3.694061",Mesón el bodegón
6,6,MenuItem,AREPA DE CARNE MECHADA Y QUESO EDAM,Offer,5.0,EUR,VENEZOLANO,8.5,"""Venezolano""","""Calle de Pedro Unanue","""geo"":{""latitude"":40.4036658,""longitude"":-3.694061",Mesón el bodegón
7,7,MenuItem,AREPA DE REINA PEPIADA Y QUESO AMARILLO,Offer,4.5,EUR,VENEZOLANO,8.5,"""Venezolano""","""Calle de Pedro Unanue","""geo"":{""latitude"":40.4036658,""longitude"":-3.694061",Mesón el bodegón
8,8,MenuItem,TEQUEÑOS,Offer,7.0,EUR,VENEZOLANO,8.5,"""Venezolano""","""Calle de Pedro Unanue","""geo"":{""latitude"":40.4036658,""longitude"":-3.694061",Mesón el bodegón
9,9,MenuItem,AREPITA NATA Y QUESO,Offer,5.0,EUR,VENEZOLANO,8.5,"""Venezolano""","""Calle de Pedro Unanue","""geo"":{""latitude"":40.4036658,""longitude"":-3.694061",Mesón el bodegón
10,10,MenuItem,EMPANADITAS,Offer,6.0,EUR,VENEZOLANO,8.5,"""Venezolano""","""Calle de Pedro Unanue","""geo"":{""latitude"":40.4036658,""longitude"":-3.694061",Mesón el bodegón
11,11,MenuItem,CACHAPA,Offer,7.0,EUR,VENEZOLANO,8.5,"""Venezolano""","""Calle de Pedro Unanue","""geo"":{""latitude"":40.4036658,""longitude"":-3.694061",Mesón el bodegón
12,12,MenuItem,PLATO DE DEGUSTACION VENEZOLANO,Offer,16.0,EUR,VENEZOLANO,8.5,"""Venezolano""","""Calle de Pedro Unanue","""geo"":{""latitude"":40.4036658,""longitude"":-3.694061",Mesón el bodegón
