,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,MARGHERITA,Offer,10,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
1,1,MenuItem,DIAVOLA,Offer,12,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
2,2,MenuItem,GRANGALA,Offer,16,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
3,3,MenuItem,MERIDIANO,Offer,17,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
4,4,MenuItem,ZOLA E PERA,Offer,13,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
5,5,MenuItem,QUATTRO STAGIONI,Offer,17,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
6,6,MenuItem,VEGANA,Offer,15,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
7,7,MenuItem,IBERICA,Offer,20,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
8,8,MenuItem,CARBONARA,Offer,13,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
9,9,MenuItem,PROSCIUTTO E FUNGHI,Offer,13,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
10,10,MenuItem,CRUDO E GRANA,Offer,14,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
11,11,MenuItem,CALZONE,Offer,13,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
12,12,MenuItem,TENTAZIONE MORTADELLA,Offer,17,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
13,13,MenuItem,DELIZIA MINELLI,Offer,18,EUR,Le Pizze ** Solo se sirven pizzas en horario de cenas y en fines de semana,9.3,"""Italiano""","""Calle de Ayala","""geo"":{""latitude"":40.4270812,""longitude"":-3.672247",Minelli 1960
