,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Vegetal Vegetal,Offer,6.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
1,1,MenuItem,Miss Rollitos Premium,Offer,6.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
2,2,MenuItem,Tobiko Salmón,Offer,7.2,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
3,3,MenuItem,Crazy Atún,Offer,8.7,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
4,4,MenuItem,México,Offer,8.7,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
5,5,MenuItem,Crazy Gamba Tempura,Offer,9.2,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
6,6,MenuItem,Nude,Offer,9.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
7,7,MenuItem,Chili Crab,Offer,10.7,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
8,8,MenuItem,Dragón,Offer,10.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
9,9,MenuItem,Mister Crab,Offer,10.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
10,10,MenuItem,Foie & Mango,Offer,10.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
11,11,MenuItem,Atún Come Gamba,Offer,12.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
12,12,MenuItem,Doble Atún,Offer,12.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
13,13,MenuItem,Ten,Offer,14.5,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
14,14,MenuItem,Salmon Surf,Offer,8.5,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
15,15,MenuItem,Crunch!,Offer,12.5,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Av","""geo"":{""latitude"":40.4554955,""longitude"":-3.6931649",Miss Sushi - Avenida de B...
