,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Vegetal Vegetal,Offer,6.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
1,1,MenuItem,Miss Rollitos Premium,Offer,6.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
2,2,MenuItem,Tobiko Salmón,Offer,7.2,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
3,3,MenuItem,Crazy Atún,Offer,8.7,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
4,4,MenuItem,México,Offer,8.7,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
5,5,MenuItem,Crazy Gamba Tempura,Offer,9.2,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
6,6,MenuItem,Nude,Offer,9.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
7,7,MenuItem,Chili Crab,Offer,10.7,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
8,8,MenuItem,Dragón,Offer,10.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
9,9,MenuItem,Mister Crab,Offer,10.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
10,10,MenuItem,Foie & Mango,Offer,10.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
11,11,MenuItem,Atún Come Gamba,Offer,12.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
12,12,MenuItem,Doble Atún,Offer,12.9,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
13,13,MenuItem,Ten,Offer,14.5,EUR,Miss Éxitos en Rolls (8 piezas),8.8,"""Japonés""","""Calle de Hortaleza","""geo"":{""latitude"":40.4255088,""longitude"":-3.6973723",Miss Sushi - Hortaleza
