,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Calamares,Offer,5.0,EUR,Bocadillos,8.9,"""Español""","""Calle de López de Hoyos","""geo"":{""latitude"":40.471889,""longitude"":-3.6500714",Molinero
1,1,MenuItem,Pepito ternera,Offer,5.5,EUR,Bocadillos,8.9,"""Español""","""Calle de López de Hoyos","""geo"":{""latitude"":40.471889,""longitude"":-3.6500714",Molinero
2,2,MenuItem,"Lomo con queso, tomate o pimientos",Offer,5.0,EUR,Bocadillos,8.9,"""Español""","""Calle de López de Hoyos","""geo"":{""latitude"":40.471889,""longitude"":-3.6500714",Molinero
3,3,MenuItem,Tortilla de patatas,Offer,3.0,EUR,Bocadillos,8.9,"""Español""","""Calle de López de Hoyos","""geo"":{""latitude"":40.471889,""longitude"":-3.6500714",Molinero
4,4,MenuItem,Tortilla francesa,Offer,2.5,EUR,Bocadillos,8.9,"""Español""","""Calle de López de Hoyos","""geo"":{""latitude"":40.471889,""longitude"":-3.6500714",Molinero
5,5,MenuItem,Jamón,Offer,6.0,EUR,Bocadillos,8.9,"""Español""","""Calle de López de Hoyos","""geo"":{""latitude"":40.471889,""longitude"":-3.6500714",Molinero
6,6,MenuItem,Queso,Offer,4.0,EUR,Bocadillos,8.9,"""Español""","""Calle de López de Hoyos","""geo"":{""latitude"":40.471889,""longitude"":-3.6500714",Molinero
7,7,MenuItem,Salchichón,Offer,4.0,EUR,Bocadillos,8.9,"""Español""","""Calle de López de Hoyos","""geo"":{""latitude"":40.471889,""longitude"":-3.6500714",Molinero
8,8,MenuItem,Chorizo,Offer,4.0,EUR,Bocadillos,8.9,"""Español""","""Calle de López de Hoyos","""geo"":{""latitude"":40.471889,""longitude"":-3.6500714",Molinero
9,9,MenuItem,Panceta,Offer,4.0,EUR,Bocadillos,8.9,"""Español""","""Calle de López de Hoyos","""geo"":{""latitude"":40.471889,""longitude"":-3.6500714",Molinero
