,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Chillout,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
1,1,MenuItem,Purify,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
2,2,MenuItem,Mix,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
3,3,MenuItem,Recovery,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
4,4,MenuItem,Healthy,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
5,5,MenuItem,Digestive,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
6,6,MenuItem,Pinagreen,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
7,7,MenuItem,Detox,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
8,8,MenuItem,Smoothie Chillout,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
9,9,MenuItem,Smoothie Sweet Pinale,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
10,10,MenuItem,Smoothie Digestive,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
11,11,MenuItem,Smoothie Matcha Tea,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
12,12,MenuItem,Smoothie Chocofresa,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
13,13,MenuItem,Matcha Tea,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
14,14,MenuItem,Frappuccino,Offer,3.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
15,15,MenuItem,Açaí Smoothie,Offer,5.9,EUR,Zumos Naturales y Smoothies,8.9,"""Vegetariano""","""Calle del Gral","""geo"":{""latitude"":40.4264674,""longitude"":-3.6786409",Pinale Coffee Shop & Sala...
