,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,REINA PEPEADA,Offer,6.5,EUR,AREPAS,9,"""Venezolano""","""Calle de la Senda del Infante","""geo"":{""latitude"":40.4880434,""longitude"":-3.7188247",Que Chevere Restaurant
1,1,MenuItem,PERICO,Offer,6.5,EUR,AREPAS,9,"""Venezolano""","""Calle de la Senda del Infante","""geo"":{""latitude"":40.4880434,""longitude"":-3.7188247",Que Chevere Restaurant
2,2,MenuItem,PELUA,Offer,6.5,EUR,AREPAS,9,"""Venezolano""","""Calle de la Senda del Infante","""geo"":{""latitude"":40.4880434,""longitude"":-3.7188247",Que Chevere Restaurant
3,3,MenuItem,SIFRINA,Offer,6.5,EUR,AREPAS,9,"""Venezolano""","""Calle de la Senda del Infante","""geo"":{""latitude"":40.4880434,""longitude"":-3.7188247",Que Chevere Restaurant
4,4,MenuItem,CATIRA,Offer,6.5,EUR,AREPAS,9,"""Venezolano""","""Calle de la Senda del Infante","""geo"":{""latitude"":40.4880434,""longitude"":-3.7188247",Que Chevere Restaurant
5,5,MenuItem,VEGETARIANA,Offer,6.5,EUR,AREPAS,9,"""Venezolano""","""Calle de la Senda del Infante","""geo"":{""latitude"":40.4880434,""longitude"":-3.7188247",Que Chevere Restaurant
6,6,MenuItem,RUMBERA,Offer,7.0,EUR,AREPAS,9,"""Venezolano""","""Calle de la Senda del Infante","""geo"":{""latitude"":40.4880434,""longitude"":-3.7188247",Que Chevere Restaurant
7,7,MenuItem,PATAPATA,Offer,6.5,EUR,AREPAS,9,"""Venezolano""","""Calle de la Senda del Infante","""geo"":{""latitude"":40.4880434,""longitude"":-3.7188247",Que Chevere Restaurant
8,8,MenuItem,PABELLON,Offer,7.5,EUR,AREPAS,9,"""Venezolano""","""Calle de la Senda del Infante","""geo"":{""latitude"":40.4880434,""longitude"":-3.7188247",Que Chevere Restaurant
9,9,MenuItem,DEGUSTACIÓN DE AREPAS,Offer,14.0,EUR,AREPAS,9,"""Venezolano""","""Calle de la Senda del Infante","""geo"":{""latitude"":40.4880434,""longitude"":-3.7188247",Que Chevere Restaurant
