,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Rollo salmón y setas,Offer,9.5,EUR,Maki Roll (8 uds),9,"""Japonés""","""Calle Miguel Ángel","""geo"":{""latitude"":40.4354781,""longitude"":-3.6915344",Sushita Café - Miguel Ángel
1,1,MenuItem,Rollo quinoa,Offer,9.5,EUR,Maki Roll (8 uds),9,"""Japonés""","""Calle Miguel Ángel","""geo"":{""latitude"":40.4354781,""longitude"":-3.6915344",Sushita Café - Miguel Ángel
2,2,MenuItem,Rollo veggie,Offer,8.5,EUR,Maki Roll (8 uds),9,"""Japonés""","""Calle Miguel Ángel","""geo"":{""latitude"":40.4354781,""longitude"":-3.6915344",Sushita Café - Miguel Ángel
3,3,MenuItem,Rollo salmón braseado o sin brasear,Offer,9.5,EUR,Maki Roll (8 uds),9,"""Japonés""","""Calle Miguel Ángel","""geo"":{""latitude"":40.4354781,""longitude"":-3.6915344",Sushita Café - Miguel Ángel
4,4,MenuItem,Rollo spicy tuna,Offer,9.9,EUR,Maki Roll (8 uds),9,"""Japonés""","""Calle Miguel Ángel","""geo"":{""latitude"":40.4354781,""longitude"":-3.6915344",Sushita Café - Miguel Ángel
5,5,MenuItem,California especial,Offer,9.9,EUR,Maki Roll (8 uds),9,"""Japonés""","""Calle Miguel Ángel","""geo"":{""latitude"":40.4354781,""longitude"":-3.6915344",Sushita Café - Miguel Ángel
6,6,MenuItem,Maki kushiage roll,Offer,9.9,EUR,Maki Roll (8 uds),9,"""Japonés""","""Calle Miguel Ángel","""geo"":{""latitude"":40.4354781,""longitude"":-3.6915344",Sushita Café - Miguel Ángel
7,7,MenuItem,Rollo foie con pera caramelizada y frambuesa,Offer,8.9,EUR,Maki Roll (8 uds),9,"""Japonés""","""Calle Miguel Ángel","""geo"":{""latitude"":40.4354781,""longitude"":-3.6915344",Sushita Café - Miguel Ángel
8,8,MenuItem,Rollo langosito spicy,Offer,9.9,EUR,Maki Roll (8 uds),9,"""Japonés""","""Calle Miguel Ángel","""geo"":{""latitude"":40.4354781,""longitude"":-3.6915344",Sushita Café - Miguel Ángel
9,9,MenuItem,Tempura caliente de unagi,Offer,10.9,EUR,Maki Roll (8 uds),9,"""Japonés""","""Calle Miguel Ángel","""geo"":{""latitude"":40.4354781,""longitude"":-3.6915344",Sushita Café - Miguel Ángel
