,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Pappardelle con Porcini e Gamberoni,Offer,15,EUR,Paste Fresche e Secche / Pastas Frescas y Secas,8.5,"""Italiano""","""Calle de los Donados","""geo"":{""latitude"":40.417824,""longitude"":-3.7083597",Anema e Core Madrid
1,1,MenuItem,Linguine allo Scoglio,Offer,18,EUR,Paste Fresche e Secche / Pastas Frescas y Secas,8.5,"""Italiano""","""Calle de los Donados","""geo"":{""latitude"":40.417824,""longitude"":-3.7083597",Anema e Core Madrid
2,2,MenuItem,Panzaroti di Zucca con Pesto de Pistacchio,Offer,16,EUR,Paste Fresche e Secche / Pastas Frescas y Secas,8.5,"""Italiano""","""Calle de los Donados","""geo"":{""latitude"":40.417824,""longitude"":-3.7083597",Anema e Core Madrid
3,3,MenuItem,Tortelloni ripieni di Astice con crema di Zucchine e Pomodorini,Offer,16,EUR,Paste Fresche e Secche / Pastas Frescas y Secas,8.5,"""Italiano""","""Calle de los Donados","""geo"":{""latitude"":40.417824,""longitude"":-3.7083597",Anema e Core Madrid
4,4,MenuItem,Tagliolini con Gamberoni Reali,Offer,24,EUR,Paste Fresche e Secche / Pastas Frescas y Secas,8.5,"""Italiano""","""Calle de los Donados","""geo"":{""latitude"":40.417824,""longitude"":-3.7083597",Anema e Core Madrid
5,5,MenuItem,Gnocchetti or Tagliolini al Tartufo Nero e Pecorino e Caponata,Offer,20,EUR,Paste Fresche e Secche / Pastas Frescas y Secas,8.5,"""Italiano""","""Calle de los Donados","""geo"":{""latitude"":40.417824,""longitude"":-3.7083597",Anema e Core Madrid
6,6,MenuItem,Cuori di Napoli alle Vongole Veraci,Offer,16,EUR,Paste Fresche e Secche / Pastas Frescas y Secas,8.5,"""Italiano""","""Calle de los Donados","""geo"":{""latitude"":40.417824,""longitude"":-3.7083597",Anema e Core Madrid
7,7,MenuItem,Lasagna All’ Emiliana,Offer,14,EUR,Paste Fresche e Secche / Pastas Frescas y Secas,8.5,"""Italiano""","""Calle de los Donados","""geo"":{""latitude"":40.417824,""longitude"":-3.7083597",Anema e Core Madrid
8,8,MenuItem,Spaghettoni alle Vongole,Offer,15,EUR,Paste Fresche e Secche / Pastas Frescas y Secas,8.5,"""Italiano""","""Calle de los Donados","""geo"":{""latitude"":40.417824,""longitude"":-3.7083597",Anema e Core Madrid
9,9,MenuItem,Paccheri con Ragú Napoletano,Offer,16,EUR,Paste Fresche e Secche / Pastas Frescas y Secas,8.5,"""Italiano""","""Calle de los Donados","""geo"":{""latitude"":40.417824,""longitude"":-3.7083597",Anema e Core Madrid
10,10,MenuItem,Ravioli di coda di bue in salsa di foie,Offer,16,EUR,Paste Fresche e Secche / Pastas Frescas y Secas,8.5,"""Italiano""","""Calle de los Donados","""geo"":{""latitude"":40.417824,""longitude"":-3.7083597",Anema e Core Madrid
