,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Cheese cake,Offer,5.0,EUR,Postres,9.1,"""Argentino""","""Calle Alfonso Rodríguez Castelao","""geo"":{""latitude"":40.482006,""longitude"":-3.7330833",La Churrasquita - Fuentel...
1,1,MenuItem,Flan de queso con helado de mango,Offer,5.0,EUR,Postres,9.1,"""Argentino""","""Calle Alfonso Rodríguez Castelao","""geo"":{""latitude"":40.482006,""longitude"":-3.7330833",La Churrasquita - Fuentel...
2,2,MenuItem,Fondant de chocolate con helado de arce,Offer,7.0,EUR,Postres,9.1,"""Argentino""","""Calle Alfonso Rodríguez Castelao","""geo"":{""latitude"":40.482006,""longitude"":-3.7330833",La Churrasquita - Fuentel...
3,3,MenuItem,Mouse de mango y mandarina,Offer,4.5,EUR,Postres,9.1,"""Argentino""","""Calle Alfonso Rodríguez Castelao","""geo"":{""latitude"":40.482006,""longitude"":-3.7330833",La Churrasquita - Fuentel...
4,4,MenuItem,Panqueque con dulce de leche,Offer,4.0,EUR,Postres,9.1,"""Argentino""","""Calle Alfonso Rodríguez Castelao","""geo"":{""latitude"":40.482006,""longitude"":-3.7330833",La Churrasquita - Fuentel...
5,5,MenuItem,Tarta fina de manzana con helado de vainilla,Offer,6.5,EUR,Postres,9.1,"""Argentino""","""Calle Alfonso Rodríguez Castelao","""geo"":{""latitude"":40.482006,""longitude"":-3.7330833",La Churrasquita - Fuentel...
6,6,MenuItem,Reina de chocolate,Offer,5.5,EUR,Postres,9.1,"""Argentino""","""Calle Alfonso Rodríguez Castelao","""geo"":{""latitude"":40.482006,""longitude"":-3.7330833",La Churrasquita - Fuentel...
7,7,MenuItem,Mouse de chocolate,Offer,5.0,EUR,Postres,9.1,"""Argentino""","""Calle Alfonso Rodríguez Castelao","""geo"":{""latitude"":40.482006,""longitude"":-3.7330833",La Churrasquita - Fuentel...
8,8,MenuItem,Huevo de chocolate blanco y mango,Offer,5.5,EUR,Postres,9.1,"""Argentino""","""Calle Alfonso Rodríguez Castelao","""geo"":{""latitude"":40.482006,""longitude"":-3.7330833",La Churrasquita - Fuentel...
9,9,MenuItem,Vaina de cacao con caramelo y avellanas,Offer,5.5,EUR,Postres,9.1,"""Argentino""","""Calle Alfonso Rodríguez Castelao","""geo"":{""latitude"":40.482006,""longitude"":-3.7330833",La Churrasquita - Fuentel...
