,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Margherita,Offer,9.5,EUR,Pizze/Pizzas,9.1,"""Italiano""","""C","""geo"":{""latitude"":40.416290078026,""longitude"":-3.7070400714874268",Trattoria Malatesta
1,1,MenuItem,Bolognesa,Offer,11.5,EUR,Pizze/Pizzas,9.1,"""Italiano""","""C","""geo"":{""latitude"":40.416290078026,""longitude"":-3.7070400714874268",Trattoria Malatesta
2,2,MenuItem,Bufalina,Offer,13.0,EUR,Pizze/Pizzas,9.1,"""Italiano""","""C","""geo"":{""latitude"":40.416290078026,""longitude"":-3.7070400714874268",Trattoria Malatesta
3,3,MenuItem,Luigi,Offer,12.5,EUR,Pizze/Pizzas,9.1,"""Italiano""","""C","""geo"":{""latitude"":40.416290078026,""longitude"":-3.7070400714874268",Trattoria Malatesta
4,4,MenuItem,Romeo,Offer,12.0,EUR,Pizze/Pizzas,9.1,"""Italiano""","""C","""geo"":{""latitude"":40.416290078026,""longitude"":-3.7070400714874268",Trattoria Malatesta
5,5,MenuItem,Leonardo,Offer,11.5,EUR,Pizze/Pizzas,9.1,"""Italiano""","""C","""geo"":{""latitude"":40.416290078026,""longitude"":-3.7070400714874268",Trattoria Malatesta
6,6,MenuItem,Fiori di bosco,Offer,13.5,EUR,Pizze/Pizzas,9.1,"""Italiano""","""C","""geo"":{""latitude"":40.416290078026,""longitude"":-3.7070400714874268",Trattoria Malatesta
7,7,MenuItem,Malatesta,Offer,13.5,EUR,Pizze/Pizzas,9.1,"""Italiano""","""C","""geo"":{""latitude"":40.416290078026,""longitude"":-3.7070400714874268",Trattoria Malatesta
8,8,MenuItem,Calzone Bella Naia,Offer,14.0,EUR,Pizze/Pizzas,9.1,"""Italiano""","""C","""geo"":{""latitude"":40.416290078026,""longitude"":-3.7070400714874268",Trattoria Malatesta
9,9,MenuItem,Mozzarella de búfala,Offer,2.5,EUR,Pizze/Pizzas,9.1,"""Italiano""","""C","""geo"":{""latitude"":40.416290078026,""longitude"":-3.7070400714874268",Trattoria Malatesta
