,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Caña,Offer,2.55,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
1,1,MenuItem,Jarra 1/2 litro,Offer,4.1,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
2,2,MenuItem,Jarra litro,Offer,8.2,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
3,3,MenuItem,Cruzcampo con alcohol y sin gluten,Offer,3.6,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
4,4,MenuItem,Desperados,Offer,3.7,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
5,5,MenuItem,Sol,Offer,3.7,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
6,6,MenuItem,Heineken,Offer,3.6,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
7,7,MenuItem,"Heineken 0,0 (sin alcohol)",Offer,3.1,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
8,8,MenuItem,Amstel,Offer,3.1,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
9,9,MenuItem,Amstel radler,Offer,3.1,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
10,10,MenuItem,Amstel Oro,Offer,3.9,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
11,11,MenuItem,Modelo especial,Offer,3.7,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
12,12,MenuItem,Negra modelo,Offer,3.7,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
13,13,MenuItem,Coronita,Offer,3.6,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
14,14,MenuItem,Coronita con tequila,Offer,4.05,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
15,15,MenuItem,Pacífico,Offer,3.7,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
16,16,MenuItem,2X Lager,Offer,3.7,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
17,17,MenuItem,Bohemia,Offer,3.9,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
18,18,MenuItem,Indio,Offer,3.9,EUR,CERVEZAS,9.1,"""Mexicano""","""Calle del Gral","""geo"":{""latitude"":40.4243351,""longitude"":-3.6785899",Cómete México General Par...
