,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Empanadillas Esplore,Offer,2.0,EUR,TAPAS,8.7,"""Español""","""Calle del Clavel","""geo"":{""latitude"":40.4203034,""longitude"":-3.6995193",Esplore - Clavel
1,1,MenuItem,Torreznos con patatas y pimientos de padrón,Offer,6.0,EUR,TAPAS,8.7,"""Español""","""Calle del Clavel","""geo"":{""latitude"":40.4203034,""longitude"":-3.6995193",Esplore - Clavel
2,2,MenuItem,Ensaladilla rusa,Offer,8.0,EUR,TAPAS,8.7,"""Español""","""Calle del Clavel","""geo"":{""latitude"":40.4203034,""longitude"":-3.6995193",Esplore - Clavel
3,3,MenuItem,Berenjenas con miel,Offer,9.0,EUR,TAPAS,8.7,"""Español""","""Calle del Clavel","""geo"":{""latitude"":40.4203034,""longitude"":-3.6995193",Esplore - Clavel
4,4,MenuItem,Croqueta cremosa de jamón,Offer,8.0,EUR,TAPAS,8.7,"""Español""","""Calle del Clavel","""geo"":{""latitude"":40.4203034,""longitude"":-3.6995193",Esplore - Clavel
5,5,MenuItem,Callos con mucho morro,Offer,8.0,EUR,TAPAS,8.7,"""Español""","""Calle del Clavel","""geo"":{""latitude"":40.4203034,""longitude"":-3.6995193",Esplore - Clavel
6,6,MenuItem,Champiñon con jamón,Offer,9.0,EUR,TAPAS,8.7,"""Español""","""Calle del Clavel","""geo"":{""latitude"":40.4203034,""longitude"":-3.6995193",Esplore - Clavel
7,7,MenuItem,Magro con tomate,Offer,6.0,EUR,TAPAS,8.7,"""Español""","""Calle del Clavel","""geo"":{""latitude"":40.4203034,""longitude"":-3.6995193",Esplore - Clavel
8,8,MenuItem,Boquerón frito,Offer,6.0,EUR,TAPAS,8.7,"""Español""","""Calle del Clavel","""geo"":{""latitude"":40.4203034,""longitude"":-3.6995193",Esplore - Clavel
9,9,MenuItem,Raviolis de calabacin,Offer,1.5,EUR,TAPAS,8.7,"""Español""","""Calle del Clavel","""geo"":{""latitude"":40.4203034,""longitude"":-3.6995193",Esplore - Clavel
