,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Ikam Asam Pedas,Offer,14.9,EUR,Pescados y Mariscos,9.3,"""Asiático""","""Calle de Viriato","""geo"":{""latitude"":40.4358993,""longitude"":-3.6997384",Sabor Nusantara
1,1,MenuItem,Ikan Asam Manis,Offer,14.9,EUR,Pescados y Mariscos,9.3,"""Asiático""","""Calle de Viriato","""geo"":{""latitude"":40.4358993,""longitude"":-3.6997384",Sabor Nusantara
2,2,MenuItem,Gulai Ikan,Offer,14.9,EUR,Pescados y Mariscos,9.3,"""Asiático""","""Calle de Viriato","""geo"":{""latitude"":40.4358993,""longitude"":-3.6997384",Sabor Nusantara
3,3,MenuItem,Cumi goreng tepung,Offer,14.9,EUR,Pescados y Mariscos,9.3,"""Asiático""","""Calle de Viriato","""geo"":{""latitude"":40.4358993,""longitude"":-3.6997384",Sabor Nusantara
4,4,MenuItem,Udang Goreng Tepung,Offer,14.9,EUR,Pescados y Mariscos,9.3,"""Asiático""","""Calle de Viriato","""geo"":{""latitude"":40.4358993,""longitude"":-3.6997384",Sabor Nusantara
5,5,MenuItem,Udang Cah Kari Kalimantan,Offer,14.9,EUR,Pescados y Mariscos,9.3,"""Asiático""","""Calle de Viriato","""geo"":{""latitude"":40.4358993,""longitude"":-3.6997384",Sabor Nusantara
6,6,MenuItem,Udang masak Kari Telor,Offer,14.9,EUR,Pescados y Mariscos,9.3,"""Asiático""","""Calle de Viriato","""geo"":{""latitude"":40.4358993,""longitude"":-3.6997384",Sabor Nusantara
7,7,MenuItem,Udang Asam Nanis,Offer,14.9,EUR,Pescados y Mariscos,9.3,"""Asiático""","""Calle de Viriato","""geo"":{""latitude"":40.4358993,""longitude"":-3.6997384",Sabor Nusantara
8,8,MenuItem,Udang Asam pedas,Offer,14.9,EUR,Pescados y Mariscos,9.3,"""Asiático""","""Calle de Viriato","""geo"":{""latitude"":40.4358993,""longitude"":-3.6997384",Sabor Nusantara
9,9,MenuItem,Sotong Goreng Tepung,Offer,10.9,EUR,Pescados y Mariscos,9.3,"""Asiático""","""Calle de Viriato","""geo"":{""latitude"":40.4358993,""longitude"":-3.6997384",Sabor Nusantara
