,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Tallarines Fritos c/ Pollo,Offer,10,EUR,Tallarines Fritos,8.4,"""Peruano""","""CALLE PUERTO CANFRANC 11 LOCAL","""geo"":{""latitude"":40.3968609,""longitude"":-3.6634924",Chifa Peruano Chalán del ...
1,1,MenuItem,Tallarines Fritos c/ Cerdo Asado,Offer,11,EUR,Tallarines Fritos,8.4,"""Peruano""","""CALLE PUERTO CANFRANC 11 LOCAL","""geo"":{""latitude"":40.3968609,""longitude"":-3.6634924",Chifa Peruano Chalán del ...
2,2,MenuItem,Tallarines Fritos c/ Pato Asado,Offer,14,EUR,Tallarines Fritos,8.4,"""Peruano""","""CALLE PUERTO CANFRANC 11 LOCAL","""geo"":{""latitude"":40.3968609,""longitude"":-3.6634924",Chifa Peruano Chalán del ...
3,3,MenuItem,Tallarines Fritos c/ Carne de Res,Offer,12,EUR,Tallarines Fritos,8.4,"""Peruano""","""CALLE PUERTO CANFRANC 11 LOCAL","""geo"":{""latitude"":40.3968609,""longitude"":-3.6634924",Chifa Peruano Chalán del ...
4,4,MenuItem,Tallarines Fritos c/ Langostinos,Offer,13,EUR,Tallarines Fritos,8.4,"""Peruano""","""CALLE PUERTO CANFRANC 11 LOCAL","""geo"":{""latitude"":40.3968609,""longitude"":-3.6634924",Chifa Peruano Chalán del ...
5,5,MenuItem,Tallarines Fritos c/ Mariscos,Offer,13,EUR,Tallarines Fritos,8.4,"""Peruano""","""CALLE PUERTO CANFRANC 11 LOCAL","""geo"":{""latitude"":40.3968609,""longitude"":-3.6634924",Chifa Peruano Chalán del ...
6,6,MenuItem,Tallarines Fritos c/ Agridulce de Pollo,Offer,11,EUR,Tallarines Fritos,8.4,"""Peruano""","""CALLE PUERTO CANFRANC 11 LOCAL","""geo"":{""latitude"":40.3968609,""longitude"":-3.6634924",Chifa Peruano Chalán del ...
7,7,MenuItem,Tallarines Fritos c/ Agridulce de Cerdo Asado,Offer,12,EUR,Tallarines Fritos,8.4,"""Peruano""","""CALLE PUERTO CANFRANC 11 LOCAL","""geo"":{""latitude"":40.3968609,""longitude"":-3.6634924",Chifa Peruano Chalán del ...
8,8,MenuItem,Tallarines Fritos c/ Agridulce de Pato Asado,Offer,14,EUR,Tallarines Fritos,8.4,"""Peruano""","""CALLE PUERTO CANFRANC 11 LOCAL","""geo"":{""latitude"":40.3968609,""longitude"":-3.6634924",Chifa Peruano Chalán del ...
9,9,MenuItem,Tallarines Fritos Especial (todas las carnes),Offer,15,EUR,Tallarines Fritos,8.4,"""Peruano""","""CALLE PUERTO CANFRANC 11 LOCAL","""geo"":{""latitude"":40.3968609,""longitude"":-3.6634924",Chifa Peruano Chalán del ...
