,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Para los amantes de las pizzas gourmet pomodoro,,,,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
1,1,MenuItem,Margherita,Offer,10.4,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
2,2,MenuItem,Speck,Offer,13.1,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
3,3,MenuItem,Jamón Ibérico y Grana Padano,Offer,15.2,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
4,4,MenuItem,Margherita di burrata,Offer,15.5,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
5,5,MenuItem,Para los amantes de las pizzas biancas,,,,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
6,6,MenuItem,Tartufata,Offer,12.7,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
7,7,MenuItem,Veneciana,Offer,13.2,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
8,8,MenuItem,Carbonara,Offer,10.9,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
9,9,MenuItem,Quattro Formaggi,Offer,13.6,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
10,10,MenuItem,Genovese,Offer,13.9,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
11,11,MenuItem,Funghi e Porchetta,Offer,12.5,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
12,12,MenuItem,Para los clásicos,,,,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
13,13,MenuItem,Bismark,Offer,10.9,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
14,14,MenuItem,Prosciutto e Funghi,Offer,12.5,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
15,15,MenuItem,Barbacoa,Offer,12.5,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
16,16,MenuItem,Verdure,Offer,10.9,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
17,17,MenuItem,Pollo braseado,Offer,13.9,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
18,18,MenuItem,Tonno e melanzane,Offer,14.1,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
19,19,MenuItem,Pollo Pepperoni Barbacoa,Offer,13.5,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
20,20,MenuItem,Amalfitana,Offer,13.2,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
21,21,MenuItem,Pollo cilantro,Offer,14.1,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
22,22,MenuItem,Calzone Reale,Offer,11.8,EUR,Pizzas e Calzones,8.4,None,"""Av","""geo"":{""latitude"":40.4798322,""longitude"":-3.707023",La Mafia se sienta a la m...
