,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Rollito California,Offer,8.0,EUR,Rollito de súhi,9.2,"""Vietnamita""","""Calle del Capitán Blanco Argibay","""geo"":{""latitude"":40.46511,""longitude"":-3.6976807",Mr. Vu
1,1,MenuItem,Rollito Philadelphia,Offer,8.2,EUR,Rollito de súhi,9.2,"""Vietnamita""","""Calle del Capitán Blanco Argibay","""geo"":{""latitude"":40.46511,""longitude"":-3.6976807",Mr. Vu
2,2,MenuItem,Rollito Dragon,Offer,9.0,EUR,Rollito de súhi,9.2,"""Vietnamita""","""Calle del Capitán Blanco Argibay","""geo"":{""latitude"":40.46511,""longitude"":-3.6976807",Mr. Vu
3,3,MenuItem,Rollito Crunse,Offer,10.8,EUR,Rollito de súhi,9.2,"""Vietnamita""","""Calle del Capitán Blanco Argibay","""geo"":{""latitude"":40.46511,""longitude"":-3.6976807",Mr. Vu
4,4,MenuItem,Rollito de anguila,Offer,10.5,EUR,Rollito de súhi,9.2,"""Vietnamita""","""Calle del Capitán Blanco Argibay","""geo"":{""latitude"":40.46511,""longitude"":-3.6976807",Mr. Vu
5,5,MenuItem,Rollito Pato Futo,Offer,10.2,EUR,Rollito de súhi,9.2,"""Vietnamita""","""Calle del Capitán Blanco Argibay","""geo"":{""latitude"":40.46511,""longitude"":-3.6976807",Mr. Vu
6,6,MenuItem,Rollito Deluxe,Offer,13.0,EUR,Rollito de súhi,9.2,"""Vietnamita""","""Calle del Capitán Blanco Argibay","""geo"":{""latitude"":40.46511,""longitude"":-3.6976807",Mr. Vu
7,7,MenuItem,Rollito Atun picante,Offer,12.5,EUR,Rollito de súhi,9.2,"""Vietnamita""","""Calle del Capitán Blanco Argibay","""geo"":{""latitude"":40.46511,""longitude"":-3.6976807",Mr. Vu
8,8,MenuItem,Rollito Vegetariano,Offer,7.5,EUR,Rollito de súhi,9.2,"""Vietnamita""","""Calle del Capitán Blanco Argibay","""geo"":{""latitude"":40.46511,""longitude"":-3.6976807",Mr. Vu
9,9,MenuItem,Rollito Salmon Loco,Offer,9.5,EUR,Rollito de súhi,9.2,"""Vietnamita""","""Calle del Capitán Blanco Argibay","""geo"":{""latitude"":40.46511,""longitude"":-3.6976807",Mr. Vu
10,10,MenuItem,Rollito Spider,Offer,8.5,EUR,Rollito de súhi,9.2,"""Vietnamita""","""Calle del Capitán Blanco Argibay","""geo"":{""latitude"":40.46511,""longitude"":-3.6976807",Mr. Vu
11,11,MenuItem,Rollito Especial,Offer,12.5,EUR,Rollito de súhi,9.2,"""Vietnamita""","""Calle del Capitán Blanco Argibay","""geo"":{""latitude"":40.46511,""longitude"":-3.6976807",Mr. Vu
