,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Degustación de postres caseros Gaditana,Offer,16.0,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
1,1,MenuItem,Tarta de queso gourmet,Offer,5.5,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
2,2,MenuItem,Flan de huevo casero a la antigua usanza,Offer,5.5,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
3,3,MenuItem,Piononos de Santa Fe,Offer,5.7,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
4,4,MenuItem,Sorbete de limón,Offer,5.5,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
5,5,MenuItem,Helados variados,Offer,4.7,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
6,6,MenuItem,Tarta al dulce de leche,Offer,5.5,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
7,7,MenuItem,Tarta de yogurt y mora,Offer,5.5,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
8,8,MenuItem,Tarta de chocolate blanco,Offer,5.5,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
9,9,MenuItem,Tarta de naranja,Offer,5.5,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
10,10,MenuItem,Tarta de la abuela,Offer,5.5,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
11,11,MenuItem,Tarta de tres chocolates,Offer,5.5,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
12,12,MenuItem,Crema de arroz con leche con toque de canela y helado de merengue,Offer,6.5,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
13,13,MenuItem,Volcán de chocolate con helado,Offer,6.0,EUR,Postre,9.1,"""Mediterráneo""","""Paseo de la Castellana","""geo"":{""latitude"":40.4361433,""longitude"":-3.6887472",La Gaditana Castellana
