,product,price,type,rating,cuisine,restaurant,lat,log
0,misto tagliatella,15.3,plato,8.7,italiano,la tagliatella - fuencarral,40.4310901,-3.70347
1,cannelloni,13.85,plato,8.7,italiano,la tagliatella - fuencarral,40.4310901,-3.70347
3,copa de champan,11.0,bebida,9,americano,la gamella,40.418802280939,-3.6888999938965
4,cafe,2.1,bebida,9,americano,la gamella,40.418802280939,-3.6888999938965
6,media botella de agua,3.0,bebida,9,americano,la gamella,40.418802280939,-3.6888999938965
7,botella de vino,14.0,bebida,9,americano,la gamella,40.418802280939,-3.6888999938965
8,copa de vino,3.75,bebida,9,americano,la gamella,40.418802280939,-3.6888999938965
9,ensalada de pimientos con anchoas,7.5,entrante,none,marisqueria,marisqueria villas,40.430525622116,-3.701159954071
10,bandeja de chopitos y calamares,7.5,entrante,none,marisqueria,marisqueria villas,40.430525622116,-3.701159954071
11,jamon y queso,8.0,entrante,none,marisqueria,marisqueria villas,40.430525622116,-3.701159954071
12,pulpo en tempura con verduritas salteadas a la soja y all-i-oli de pimenton,16.0,entrante,8.8,español,la cozina,40.4612587,-3.6162406
13,ensalada improvisada del chef con jamon de pato,14.0,entrante,8.8,español,la cozina,40.4612587,-3.6162406
14,boletus confitados al foie con mermelada de tomate,14.0,entrante,8.8,español,la cozina,40.4612587,-3.6162406
15,tartar de salmon marinado y guacamole con salmorejo,15.0,entrante,8.8,español,la cozina,40.4612587,-3.6162406
16,temaki abierto de tartar de atun con ikura,5.5,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
17,sandwich crujiente de tartar de salmon picante (2 uds),10.9,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
18,poke de salmon,9.9,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
19,poke de atun,10.9,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
20,degustacion de sashimis,18.9,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
21,tartar de segis con raiz de loto,11.9,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
22,tiradito de dorada salvaje con gelatina de ponzu y laminas de trufa,14.5,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
23,ceviche de lubina,14.9,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
24,tartar de salmon,12.9,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
25,sashimi de salmon (8 piezas),11.9,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
34,cafe,1.5,bebida,9.3,venezolano,la octava isla,40.432906,-3.6834876
35,botella de agua,2.5,bebida,9.3,venezolano,la octava isla,40.432906,-3.6834876
36,media botella de agua,1.0,bebida,9.3,venezolano,la octava isla,40.432906,-3.6834876
39,gazpacho de remolacha y alhjabega,6.0,plato,9.5,mediterraneo,las hijas de lilith,40.4092748,-3.7122116
40,gazpacho thai de alcachofas y esparragos,7.0,plato,9.5,mediterraneo,las hijas de lilith,40.4092748,-3.7122116
41,tortillita de patatas,5.0,plato,9.5,mediterraneo,las hijas de lilith,40.4092748,-3.7122116
42,tortillita de patatas con chorizo,6.5,plato,9.5,mediterraneo,las hijas de lilith,40.4092748,-3.7122116
43,tortillita de patatas con morcilla,6.5,plato,9.5,mediterraneo,las hijas de lilith,40.4092748,-3.7122116
44,tortillita de patatas con queso azul,6.5,plato,9.5,mediterraneo,las hijas de lilith,40.4092748,-3.7122116
45,tortillita de patatas con bacon y queso,6.5,plato,9.5,mediterraneo,las hijas de lilith,40.4092748,-3.7122116
46,hamburguesa de presa iberica con hummus y queso feta,10.0,plato,9.5,mediterraneo,las hijas de lilith,40.4092748,-3.7122116
47,hamburguesa de pollo hawaiano,8.5,plato,9.5,mediterraneo,las hijas de lilith,40.4092748,-3.7122116
48,hamburguesa de ternera al whisky,9.5,plato,9.5,mediterraneo,las hijas de lilith,40.4092748,-3.7122116
49,hamburguesa de mijo y aguacate,8.5,plato,9.5,mediterraneo,las hijas de lilith,40.4092748,-3.7122116
50,"diseña tu bowl, pequeño (500 ml)",9.9,plato,9,japones,poke fish,40.43509,-3.710948
51,"diseña tu bowl, grande (750 ml)",11.9,plato,9,japones,poke fish,40.43509,-3.710948
54,carne de wagyu salteado con setas japonesas,26.0,plato,9.5,japones,tori-key,40.4405443,-3.7007029
