,Unnamed: 0,Unnamed: 0.1,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant,description
0,0,0,MenuItem,Corazones de alcachofas confitadas,Offer,16.0,EUR,De la huerta,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,
1,1,1,MenuItem,Ensalada de perdiz escabechada,Offer,16.0,EUR,De la huerta,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,
2,2,2,MenuItem,Habitas baby confitadas con huevo frito,Offer,16.0,EUR,De la huerta,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,
3,0,0,MenuItem,Bacalao confitado en salsa de piquillo y cebolletas dulces,Offer,24.0,EUR,Seducción marina,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,
4,1,1,MenuItem,Merluza de pincho a la plancha con salsa de mostaza,Offer,24.0,EUR,Seducción marina,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,
5,2,2,MenuItem,Tartar de atún rojo con aguacate y aceite de sésamo,Offer,24.0,EUR,Seducción marina,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,
6,0,0,MenuItem,California Roll,Offer,8.5,EUR,Rolls (8 unidades),9.1,"""Japonés""","""Calle de Alcalá","""geo"":{""latitude"":40.4218559,""longitude"":-3.6828259",Maitake,
7,1,1,MenuItem,Anguila Roll,Offer,14.0,EUR,Rolls (8 unidades),9.1,"""Japonés""","""Calle de Alcalá","""geo"":{""latitude"":40.4218559,""longitude"":-3.6828259",Maitake,
8,2,2,MenuItem,Spicy Tuna,Offer,15.0,EUR,Rolls (8 unidades),9.1,"""Japonés""","""Calle de Alcalá","""geo"":{""latitude"":40.4218559,""longitude"":-3.6828259",Maitake,
9,0,0,MenuItem,Botella de champán,,,,Bebidas,9.1,"""Japonés""","""Calle de Alcalá","""geo"":{""latitude"":40.4218559,""longitude"":-3.6828259",Maitake,
10,1,1,MenuItem,Copa de champán,,,,Bebidas,9.1,"""Japonés""","""Calle de Alcalá","""geo"":{""latitude"":40.4218559,""longitude"":-3.6828259",Maitake,
11,2,2,MenuItem,Café,Offer,2.0,EUR,Bebidas,9.1,"""Japonés""","""Calle de Alcalá","""geo"":{""latitude"":40.4218559,""longitude"":-3.6828259",Maitake,
